Entity,Code,Year,Participation time in employment (Eurostat),Continent,Population (historical estimates)
Estonia,EST,2000,354.08624,,1396881.0
Estonia,EST,2010,326.61221,,1331535.0
Europe,,2000,,,727917165.0
Europe,,2010,,,737406197.0
Finland,FIN,2000,330.44363,,5176208.0
Finland,FIN,2010,314.01199,,5363279.0
France,FRA,2000,309.73853,,58665456.0
France,FRA,2010,288.84335,,62444568.0
Germany,DEU,2000,319.2558,,81551680.0
Germany,DEU,2010,306.5994,,81325088.0
Italy,ITA,2000,319.60974,,56966400.0
Italy,ITA,2010,309.59659,,59822452.0
Poland,POL,2000,321.40207,,38504432.0
Poland,POL,2010,321.24695,,38597356.0
Spain,ESP,2000,336.66998,,40741652.0
Spain,ESP,2010,312.95154,,46572776.0
United Kingdom,GBR,2000,338.73495,,58850044.0
United Kingdom,GBR,2010,299.72852,,62760048.0
