Entity,Code,Year,"Current number of cases of hiv/aids, in both sexes aged all ages"
Angola,AGO,1990,7206.7686
Angola,AGO,1995,33846.79
Angola,AGO,2000,86449.445
Angola,AGO,2005,143496.25
Angola,AGO,2010,204686.03
Angola,AGO,2015,298437.12
Angola,AGO,2019,383909.75
Belgium,BEL,1990,3101.608
Belgium,BEL,1995,7302.7334
Belgium,BEL,2000,10888.605
Belgium,BEL,2005,14646.651
Belgium,BEL,2010,17928.324
Belgium,BEL,2015,21256.357
Belgium,BEL,2019,23813.75
Egypt,EGY,1990,1030.9424
Egypt,EGY,1995,1232.8165
Egypt,EGY,2000,1275.7211
Egypt,EGY,2005,1415.0831
Egypt,EGY,2010,1798.7615
Egypt,EGY,2015,2891.9773
Egypt,EGY,2019,4438.1924
Nepal,NPL,1990,8.050195
Nepal,NPL,1995,1035.1915
Nepal,NPL,2000,12771.48
Nepal,NPL,2005,30897.035
Nepal,NPL,2010,33628.34
Nepal,NPL,2015,30008.041
Nepal,NPL,2019,27605.455
