Entity,Code,Year,"Adjusted net savings per capita, excluding particulate emission damage (current US$)"
Cambodia,KHM,2000,23.7
Cambodia,KHM,2010,71.75
Cambodia,KHM,2020,262.55
China,CHN,1990,51.25
China,CHN,2000,160.41
China,CHN,2010,1212.68
China,CHN,2020,1755.65
Ethiopia,ETH,2020,150.62
Ghana,GHA,1975,10.08
Ghana,GHA,1980,-25.74
Ghana,GHA,1990,-13.87
Ghana,GHA,2000,-13.79
Ghana,GHA,2010,-120.5
Ghana,GHA,2020,208.18
Guinea,GIN,1990,35.65
Guinea,GIN,2000,14.54
Guinea,GIN,2010,-50.05
Guinea,GIN,2020,124.01
Laos,LAO,2000,-36.11
Laos,LAO,2010,-166.64
Syria,SYR,2000,388.64
Syria,SYR,2010,1048.59
