Entity,Code,Year,IIASA rates of no education projections (IIASA (2015))
Argentina,ARG,1970,9.9872584
Argentina,ARG,1980,7.3567607
Argentina,ARG,1990,5.2273583
Argentina,ARG,2000,3.5656642
Argentina,ARG,2010,2.3895133
Argentina,ARG,2020,1.5755135999999998
Argentina,ARG,2030,1.0175081
Argentina,ARG,2040,0.6354942
Argentina,ARG,2050,0.3729542
Armenia,ARM,1970,2.013421
Armenia,ARM,1980,1.0302364
Armenia,ARM,1990,0.6059944
Armenia,ARM,2000,0.4021982
Armenia,ARM,2010,0.2401548
Armenia,ARM,2020,0.1520052
Armenia,ARM,2030,0.1012352
Armenia,ARM,2040,0.0727514
Armenia,ARM,2050,0.0518292999999999
Bahamas,BHS,1970,3.0267481999999997
Bahamas,BHS,1980,2.4146183000000003
Bahamas,BHS,1990,1.8286184
Bahamas,BHS,2000,1.3358694
Bahamas,BHS,2010,1.0980834
Bahamas,BHS,2020,0.8195878999999999
Bahamas,BHS,2030,0.5552775
Bahamas,BHS,2040,0.3319779
Bahamas,BHS,2050,0.1626754
Brazil,BRA,1970,32.8603064
Brazil,BRA,1980,23.6822752
Brazil,BRA,1990,16.9918968
Brazil,BRA,2000,11.8251608
Brazil,BRA,2010,8.3287854
Brazil,BRA,2020,5.7204806
Brazil,BRA,2030,3.8225455
Brazil,BRA,2040,2.4732781
Brazil,BRA,2050,1.509016
Central African Republic,CAF,1970,78.5433913
Central African Republic,CAF,1980,65.306626
Central African Republic,CAF,1990,52.6371358
Central African Republic,CAF,2000,41.2802473
Central African Republic,CAF,2010,30.8968491
Central African Republic,CAF,2020,22.5264944
Central African Republic,CAF,2030,16.2306611
Central African Republic,CAF,2040,11.6542891
Central African Republic,CAF,2050,8.3314605
Germany,DEU,1970,0.0001309999999999
Germany,DEU,1980,3.77e-05
Germany,DEU,1990,6.29e-06
Germany,DEU,2000,1.03e-07
Greece,GRC,1970,16.016724
Greece,GRC,1980,10.7243477
Greece,GRC,1990,6.7235135
Greece,GRC,2000,4.0349148
Greece,GRC,2010,2.8598174
Greece,GRC,2020,1.959914
Greece,GRC,2030,1.3175494
Greece,GRC,2040,0.9323055
Greece,GRC,2050,0.6416041
Myanmar,MMR,1970,33.2021085
Myanmar,MMR,1980,28.1421775
Myanmar,MMR,1990,23.0697212
Myanmar,MMR,2000,18.5657814
Myanmar,MMR,2010,14.8156655
Myanmar,MMR,2020,11.7608852
Myanmar,MMR,2030,9.1916407
Myanmar,MMR,2040,6.9721883
Myanmar,MMR,2050,5.0248532
New Zealand,NZL,1970,4.74e-05
New Zealand,NZL,1980,1.01e-05
New Zealand,NZL,1990,1e-06
Norway,NOR,1970,0.4729364
Norway,NOR,1980,0.4024581
Norway,NOR,1990,0.3285507
Norway,NOR,2000,0.2599147
Norway,NOR,2010,0.1934933999999999
Norway,NOR,2020,0.1354773
Norway,NOR,2030,0.0843788999999999
Norway,NOR,2040,0.043125
Norway,NOR,2050,0.0173747
Panama,PAN,1970,20.9446222
Panama,PAN,1980,14.7394687
Panama,PAN,1990,10.416863
Panama,PAN,2000,7.577367
Panama,PAN,2010,5.511695400000001
Panama,PAN,2020,3.879927200000001
Panama,PAN,2030,2.6731911
Panama,PAN,2040,1.8100082
Panama,PAN,2050,1.1965315
Romania,ROU,1970,14.6908244
Romania,ROU,1980,9.9376025
Romania,ROU,1990,6.2528417
Romania,ROU,2000,4.2969319
Romania,ROU,2010,2.9850249
Romania,ROU,2020,2.1404387
Romania,ROU,2030,1.6805123000000002
Romania,ROU,2040,1.4360971
Romania,ROU,2050,1.2074287
Rwanda,RWA,1970,67.7496216
Rwanda,RWA,1980,56.8141268
Rwanda,RWA,1990,45.3116325
Rwanda,RWA,2000,32.134652800000005
Rwanda,RWA,2010,22.1344828
Rwanda,RWA,2020,15.7601046
Rwanda,RWA,2030,10.6567006
Rwanda,RWA,2040,7.2176669
Rwanda,RWA,2050,4.9181625
Switzerland,CHE,1970,0.000117
Switzerland,CHE,1980,3.87e-05
Switzerland,CHE,1990,7.65e-06
Switzerland,CHE,2000,1.64e-07
