Entity,Code,Year,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: medium
Africa (UN),,1950,94513270.0,
Africa (UN),,1960,122570730.0,
Africa (UN),,1980,215749520.0,
Africa (UN),,2000,351412480.0,
Africa (UN),,2020,551727360.0,
Africa (UN),,2040,,723761700.0
Africa (UN),,2060,,821000800.0
Africa (UN),,2080,,839077060.0
Africa (UN),,2100,,808204100.0
Asia (UN),,1950,510936200.0,
Asia (UN),,1960,682491100.0,
Asia (UN),,1980,997872830.0,
Asia (UN),,2000,1136704000.0,
Asia (UN),,2020,1109401900.0,
Asia (UN),,2040,,951657200.0
Asia (UN),,2060,,862102200.0
Asia (UN),,2080,,764372900.0
Asia (UN),,2100,,661597900.0
Europe (UN),,1950,144994290.0,
Europe (UN),,1960,163020240.0,
Europe (UN),,1980,153846450.0,
Europe (UN),,2000,127678980.0,
Europe (UN),,2020,118539870.0,
Europe (UN),,2040,,97472330.0
Europe (UN),,2060,,91358470.0
Europe (UN),,2080,,83980440.0
Europe (UN),,2100,,76745940.0
Latin America and the Caribbean (UN),,1950,69244760.0,
Latin America and the Caribbean (UN),,1960,94519510.0,
Latin America and the Caribbean (UN),,1980,143414340.0,
Latin America and the Caribbean (UN),,2000,168015120.0,
Latin America and the Caribbean (UN),,2020,155617820.0,
Latin America and the Caribbean (UN),,2040,,135294780.0
Latin America and the Caribbean (UN),,2060,,116846320.0
Latin America and the Caribbean (UN),,2080,,100655680.0
Latin America and the Caribbean (UN),,2100,,86351120.0
Northern America (UN),,1950,44220624.0,
Northern America (UN),,1960,60363720.0,
Northern America (UN),,1980,55754936.0,
Northern America (UN),,2000,66418140.0,
Northern America (UN),,2020,68222010.0,
Northern America (UN),,2040,,65307904.0
Northern America (UN),,2060,,62944104.0
Northern America (UN),,2080,,63492064.0
Northern America (UN),,2100,,62362530.0
Oceania (UN),,1950,3779096.0,
Oceania (UN),,1960,5295300.0,
Oceania (UN),,1980,6760741.0,
Oceania (UN),,2000,8091427.0,
Oceania (UN),,2020,10229832.0,
Oceania (UN),,2040,,10589938.0
Oceania (UN),,2060,,10880392.0
Oceania (UN),,2080,,10803166.0
Oceania (UN),,2100,,10545458.0
World,OWID_WRL,1950,867688260.0,
World,OWID_WRL,1960,1128260600.0,
World,OWID_WRL,1980,1573398800.0,
World,OWID_WRL,2000,1858320100.0,
World,OWID_WRL,2020,2013738800.0,
World,OWID_WRL,2040,,1984084000.0
World,OWID_WRL,2060,,1965132300.0
World,OWID_WRL,2080,,1862381300.0
World,OWID_WRL,2100,,1705807100.0
