Entity,Code,Year,"9.a.1 - Total official flows for infrastructure, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_INFRAL"
Equatorial Guinea,GNQ,2000,2090000.0
Equatorial Guinea,GNQ,2005,230000.0
Equatorial Guinea,GNQ,2010,30000.0
Equatorial Guinea,GNQ,2015,20000.0
Equatorial Guinea,GNQ,2021,10000.0
Lesotho,LSO,2000,5810000.0
Lesotho,LSO,2005,8710000.0
Lesotho,LSO,2010,27040000.0
Lesotho,LSO,2015,10140000.0
Lesotho,LSO,2021,14990000.0
Panama,PAN,2000,110380000.0
Panama,PAN,2005,450000.0
Panama,PAN,2010,55080000.0
Panama,PAN,2015,537960000.0
Panama,PAN,2021,352600000.0
Saint Kitts and Nevis,KNA,2000,10000.0
Saint Kitts and Nevis,KNA,2005,480000.0
Saint Kitts and Nevis,KNA,2010,1420000.0
Solomon Islands,SLB,2000,10320000.0
Solomon Islands,SLB,2005,9810000.0
Solomon Islands,SLB,2010,15380000.0
Solomon Islands,SLB,2015,36950000.0
Solomon Islands,SLB,2021,51090000.0
