Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate)
Brazil,BRA,1990,133.68
Brazil,BRA,1995,131.56
Brazil,BRA,2000,131.72
Brazil,BRA,2005,127.66
Brazil,BRA,2010,123.88
Brazil,BRA,2015,118.5
Brazil,BRA,2019,114.52
China,CHN,1990,173.99
China,CHN,1995,170.58
China,CHN,2000,171.84
China,CHN,2005,170.23
China,CHN,2010,157.73
China,CHN,2015,143.01
China,CHN,2019,140.92
Spain,ESP,1990,155.88
Spain,ESP,1995,151.93
Spain,ESP,2000,142.49
Spain,ESP,2005,135.46
Spain,ESP,2010,133.21
Spain,ESP,2015,131.25
Spain,ESP,2019,127.38
United States,USA,1990,168.98
United States,USA,1995,168.02
United States,USA,2000,160.38
United States,USA,2005,150.18
United States,USA,2010,141.68
United States,USA,2015,136.43
United States,USA,2019,137.37
World,OWID_WRL,1990,147.93
World,OWID_WRL,1995,147.61
World,OWID_WRL,2000,144.33
World,OWID_WRL,2005,139.92
World,OWID_WRL,2010,133.3
World,OWID_WRL,2015,127.25
World,OWID_WRL,2019,125.41
