Entity,Code,Year,Severe bleaching events (>30% bleached)
El Nino,,1980,0
El Nino,,1982,0
El Nino,,1984,0
El Nino,,1986,0
El Nino,,1988,3
El Nino,,1990,0
El Nino,,1992,1
El Nino,,1994,0
El Nino,,1996,0
El Nino,,1998,57
El Nino,,2000,0
El Nino,,2002,0
El Nino,,2004,0
El Nino,,2006,0
El Nino,,2008,0
El Nino,,2010,0
El Nino,,2012,0
El Nino,,2014,0
El Nino,,2016,43
La Nina,,1980,0
La Nina,,1982,0
La Nina,,1984,0
La Nina,,1986,0
La Nina,,1988,0
La Nina,,1990,0
La Nina,,1992,0
La Nina,,1994,0
La Nina,,1996,0
La Nina,,1998,0
La Nina,,2000,5
La Nina,,2002,0
La Nina,,2004,0
La Nina,,2006,0
La Nina,,2008,3
La Nina,,2010,37
La Nina,,2012,0
La Nina,,2014,0
La Nina,,2016,0
Moderate,,1980,0
Moderate,,1982,0
Moderate,,1984,1
Moderate,,1986,0
Moderate,,1988,0
Moderate,,1990,4
Moderate,,1992,0
Moderate,,1994,4
Moderate,,1996,5
Moderate,,1998,0
Moderate,,2000,0
Moderate,,2002,14
Moderate,,2004,5
Moderate,,2006,2
Moderate,,2008,0
Moderate,,2010,0
Moderate,,2012,1
Moderate,,2014,5
Moderate,,2016,0
