Entity,Code,Year,Capacity
Concentrated solar power,,2000,0.41900003
Concentrated solar power,,2005,0.40120003
Concentrated solar power,,2010,1.26582
Concentrated solar power,,2015,4.849943
Concentrated solar power,,2020,6.5106845
Concentrated solar power,,2022,6.500963
Hydropower,,2000,782.15027
Hydropower,,2005,870.9389
Hydropower,,2010,1025.7891
Hydropower,,2015,1210.3313
Hydropower,,2020,1334.0778
Hydropower,,2022,1392.5984
Marine energy,,2000,0.23775001
Marine energy,,2005,0.24025
Marine energy,,2010,0.24959502
Marine energy,,2015,0.512278
Marine energy,,2020,0.52329105
Marine energy,,2022,0.52374804
Other solid biofuels,,2000,17.46696
Other solid biofuels,,2005,26.607012
Other solid biofuels,,2010,36.66765
Other solid biofuels,,2015,51.45695
Other solid biofuels,,2020,72.75396
Other solid biofuels,,2022,82.02216
Renewable hydropower including mixed plants,,2000,697.1837
Renewable hydropower including mixed plants,,2005,784.0964
Renewable hydropower including mixed plants,,2010,925.73706
Renewable hydropower including mixed plants,,2015,1098.4296
Renewable hydropower including mixed plants,,2020,1212.8989
Renewable hydropower including mixed plants,,2022,1255.5404
Solar energy,,2000,1.227518
Solar energy,,2005,4.9473443
Solar energy,,2010,41.593166
Solar energy,,2015,228.91951
Solar energy,,2020,720.4287
Solar energy,,2022,1053.1154
