Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,12.62,5467.208,165516224.0,
Belarus,BLR,2019,0.34,19279.209,9673971.0,
Bermuda,BMU,2019,0.59,81681.73,63833.0,
Brazil,BRA,2019,11.75,14685.128,211782880.0,
Burundi,BDI,2019,271.52,729.65845,11874838.0,
Chad,TCD,2019,751.91,1561.9967,16126868.0,
Chile,CHL,2019,0.66,24816.611,19039484.0,
China,CHN,2019,1.75,15977.764,1421864064.0,
Colombia,COL,2019,6.53,14616.135,50187404.0,
Dominican Republic,DOM,2019,22.14,18171.06,10881886.0,
Egypt,EGY,2019,71.42,11180.697,105618672.0,
Eswatini,SWZ,2019,136.45,8501.267,1169620.0,
Ethiopia,ETH,2019,150.72,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,28.68,13241.354,918472.0,
Finland,FIN,2019,0.14,48583.434,5521539.0,
France,FRA,2019,0.42,45922.793,64399760.0,
Germany,DEU,2019,0.23,53874.316,83148144.0,
Greece,GRC,2019,0.19,29721.586,10574026.0,
Haiti,HTI,2019,204.11,3101.5942,11160441.0,
India,IND,2019,47.24,6608.624,1383112064.0,
Indonesia,IDN,2019,45.47,11857.789,269582880.0,
Iran,IRN,2019,3.38,14084.354,86564208.0,
Iraq,IRQ,2019,8.17,10299.316,41563524.0,
Italy,ITA,2019,0.29,42739.05,59727936.0,
Japan,JPN,2019,0.6,41697.41,125791680.0,
Kuwait,KWT,2019,0.9,47314.797,4441105.0,
Latvia,LVA,2019,0.47,31038.68,1916552.0,
Libya,LBY,2019,3.7,22535.445,6569085.0,
Madagascar,MDG,2019,278.5,1585.4717,27533134.0,
Malaysia,MYS,2019,1.98,27674.402,32804024.0,
Mexico,MEX,2019,9.15,20064.5,125085312.0,
Micronesia (country),FSM,2019,9.23,3540.7825,111392.0,
Mozambique,MOZ,2019,82.88,1285.1848,30285602.0,
Myanmar,MMR,2019,35.34,4829.5366,53040212.0,
Nepal,NPL,2019,23.71,3922.0813,28832500.0,
Niger,NER,2019,473.44,1217.446,23443400.0,
Nigeria,NGA,2019,395.43,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,106.07,5157.5464,223293280.0,
Palestine,PSE,2019,2.08,6245.4487,4909775.0,
Philippines,PHL,2019,23.12,8731.861,110380800.0,
Poland,POL,2019,0.29,33159.75,38493600.0,
Qatar,QAT,2019,1.45,90840.43,2807242.0,
Russia,RUS,2019,1.24,27254.574,145742288.0,
Saint Kitts and Nevis,KNA,2019,9.44,31194.736,47739.0,
Samoa,WSM,2019,5.16,6346.1465,211915.0,
Saudi Arabia,SAU,2019,2.15,44954.992,35827364.0,
Serbia,SRB,2019,0.55,18310.08,7401056.0,
Somalia,SOM,2019,255.38,1138.2859,15981312.0,
South Africa,ZAF,2019,71.94,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Switzerland,CHE,2019,0.87,70857.086,8575593.0,
Tajikistan,TJK,2019,54.3,3575.2798,9337008.0,
Tanzania,TZA,2019,35.46,2577.6658,59872584.0,
Turkey,TUR,2019,3.8,28150.059,83481688.0,
Tuvalu,TUV,2019,6.46,4816.553,10983.0,
Uganda,UGA,2019,63.37,2250.015,42949076.0,
Ukraine,UKR,2019,0.71,12804.955,44211100.0,
United States,USA,2019,0.32,62478.254,334319680.0,
Uzbekistan,UZB,2019,3.27,7348.147,32976946.0,
Vietnam,VNM,2019,1.75,10252.005,95776712.0,
Zambia,ZMB,2019,133.14,3372.359,18380478.0,
