Entity,Code,Year,regime_trich_ert
Argentina,ARG,1900,1
Argentina,ARG,1920,2
Argentina,ARG,1940,1
Argentina,ARG,1960,2
Argentina,ARG,1980,1
Argentina,ARG,2000,1
Argentina,ARG,2022,1
Australia,AUS,1900,1
Australia,AUS,1920,1
Australia,AUS,1940,1
Australia,AUS,1960,1
Australia,AUS,1980,1
Australia,AUS,2000,1
Australia,AUS,2022,1
Botswana,BWA,1900,1
Botswana,BWA,1920,1
Botswana,BWA,1940,1
Botswana,BWA,1960,2
Botswana,BWA,1980,1
Botswana,BWA,2000,1
Botswana,BWA,2022,0
China,CHN,1900,1
China,CHN,1920,1
China,CHN,1940,1
China,CHN,1960,1
China,CHN,1980,1
China,CHN,2000,1
China,CHN,2022,1
