Entity,Code,Year,Share of the population using safely managed sanitation services
High-income countries,,2000,86.568634
High-income countries,,2005,87.34123
High-income countries,,2010,88.660385
High-income countries,,2015,90.13129
High-income countries,,2020,91.14379
High-income countries,,2022,91.24387
Low-income countries,,2000,14.672924
Low-income countries,,2005,16.224112
Low-income countries,,2010,18.248343
Low-income countries,,2015,19.355146
Low-income countries,,2020,21.197319
Low-income countries,,2022,24.356556
Lower-middle-income countries,,2000,18.422932
Lower-middle-income countries,,2005,23.938292
Lower-middle-income countries,,2010,30.958902
Lower-middle-income countries,,2015,38.246426
Lower-middle-income countries,,2020,45.129093
Lower-middle-income countries,,2022,47.521828
Upper-middle-income countries,,2000,23.964993
Upper-middle-income countries,,2005,29.369425
Upper-middle-income countries,,2010,37.955322
Upper-middle-income countries,,2015,48.070602
Upper-middle-income countries,,2020,58.089542
Upper-middle-income countries,,2022,60.162666
World,OWID_WRL,2000,32.34688
World,OWID_WRL,2005,36.284763
World,OWID_WRL,2010,42.2104
World,OWID_WRL,2015,48.638775
World,OWID_WRL,2020,54.825058
World,OWID_WRL,2022,56.60437
