Entity,Code,Year,Bananas | 00000486 || Production | 005510 || tonnes
Brazil,BRA,1961,2823040.0
Brazil,BRA,1970,5126160.0
Brazil,BRA,1980,4659680.0
Brazil,BRA,1990,5725830.0
Brazil,BRA,2000,5663360.0
Brazil,BRA,2010,6969306.0
Brazil,BRA,2021,6811374.0
Central America (FAO),,1961,2720145.0
Central America (FAO),,1970,4973125.0
Central America (FAO),,1980,5599652.0
Central America (FAO),,1990,6539129.0
Central America (FAO),,2000,6242792.0
Central America (FAO),,2010,7991317.0
Central America (FAO),,2021,10188534.0
Croatia,HRV,2021,0.0
Eastern Europe (FAO),,2021,0.0
Laos,LAO,1961,5000.0
Laos,LAO,1970,6200.0
Laos,LAO,1980,8000.0
Laos,LAO,1990,14000.0
Laos,LAO,2000,37000.0
Laos,LAO,2010,178600.0
Laos,LAO,2021,1166540.1
