Entity,Code,Year,Taxes on goods and services (as a share of GDP),"Taxes on income, profits and capital gains (TIPCG) (as a share of GDP)",Population,Continent
Afghanistan,AFG,2022,,,41128772.0,
Africa,,2022,,,1426736614.0,
Argentina,ARG,2022,,,45510324.0,
Asia,,2022,,,4721383370.0,
Australia,AUS,2022,,,26177410.0,
Bahamas,BHS,2022,,,409989.0,
Belgium,BEL,2022,,,11655923.0,
Bolivia,BOL,2022,,,12224114.0,
Botswana,BWA,2022,,,2630300.0,
Brazil,BRA,2022,,,215313504.0,
Cameroon,CMR,2022,6.7952914,,27914542.0,
Canada,CAN,2022,,,38454328.0,
Chile,CHL,2022,,,19603736.0,
China,CHN,2022,,,1425887360.0,
Congo,COG,2022,3.2056694,,5970430.0,
Croatia,HRV,2022,,,4030361.0,
Cuba,CUB,2022,,,11212198.0,
Cyprus,CYP,2022,,,1251492.0,
Denmark,DNK,2022,,,5882259.0,
Dominica,DMA,2022,13.731072,2.8467596,72758.0,
Europe,,2022,,,744806995.0,
Fiji,FJI,2022,,,929769.0,
Finland,FIN,2022,,,5540745.0,
France,FRA,2022,,,64626624.0,
Germany,DEU,2022,,,83369840.0,
Hungary,HUN,2022,,,9967304.0,
Iceland,ISL,2022,,,372903.0,
Indonesia,IDN,2022,,5.094436,275501344.0,
Israel,ISR,2022,,,9038313.0,
Italy,ITA,2022,,,59037472.0,
Jamaica,JAM,2022,8.925716,7.911103,2827382.0,
Japan,JPN,2022,,,123951696.0,
Kiribati,KIR,2022,,,131237.0,
Laos,LAO,2022,5.6444345,2.200092,7529477.0,
Liberia,LBR,2022,1.7614495,5.0327125,5302690.0,
Lithuania,LTU,2022,,,2750058.0,
Macao,MAC,2022,,,695180.0,
Mexico,MEX,2022,,,127504120.0,
Moldova,MDA,2022,13.582834,5.39576,3272993.0,
Morocco,MAR,2022,10.344786,8.395663,37457976.0,
Myanmar,MMR,2022,,,54179312.0,
Namibia,NAM,2022,6.983272,12.002653,2567024.0,
Netherlands,NLD,2022,,,17564020.0,
New Zealand,NZL,2022,,,5185289.0,
North America,,2022,,,600323657.0,
Norway,NOR,2022,,,5434324.0,
Oceania,,2022,,,45038860.0,
Pakistan,PAK,2022,,,235824864.0,
Palestine,PSE,2022,,,5250076.0,
Papua New Guinea,PNG,2022,3.7513738,8.031392,10142625.0,
Peru,PER,2022,,,34049588.0,
Philippines,PHL,2022,,,115559008.0,
Poland,POL,2022,,,39857144.0,
Serbia,SRB,2022,,,7221365.0,
Slovakia,SVK,2022,,,5643455.0,
Slovenia,SVN,2022,,,2119843.0,
Somalia,SOM,2022,0.316254,0.22922285,17597508.0,
South Africa,ZAF,2022,,,59893884.0,
South America,,2022,,,436816679.0,
South Korea,KOR,2022,,,51815808.0,
Spain,ESP,2022,,,47558632.0,
Sudan,SDN,2022,,,46874200.0,
Switzerland,CHE,2022,,,8740471.0,
Thailand,THA,2022,,,71697024.0,
Tonga,TON,2022,12.983993,3.695444,106867.0,
Trinidad and Tobago,TTO,2022,3.284439,15.354447,1531043.0,
United States,USA,2022,,,338289856.0,
Venezuela,VEN,2022,,,28301700.0,
Zambia,ZMB,2022,5.379654,9.91076,20017670.0,
