Entity,Code,Year,"Mean years of schooling, male","Mean years of schooling, female",Population,Continent
Afghanistan,AFG,2021,3.40131,2.31108,40099460.0,
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,6.8942685,4.1838756,34503776.0,
Argentina,ARG,2021,10.906023,11.353645,45276788.0,
Asia,,2021,,,4693332132.0,
Brazil,BRA,2021,7.894244,8.333614,214326224.0,
Cameroon,CMR,2021,7.50058,4.81709,27198632.0,
Chad,TCD,2021,3.6816254,1.4891737,17179744.0,
China,CHN,2021,7.861852,7.334608,1425893504.0,
Dominican Republic,DOM,2021,8.988241,9.607207,11117873.0,
Egypt,EGY,2021,9.42036,9.802208,109262184.0,
Ethiopia,ETH,2021,4.2384486,2.1618454,120283024.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,11.80277,11.43722,64531448.0,
Gabon,GAB,2021,10.497617,7.8436766,2341185.0,
Iceland,ISL,2021,13.67178,13.86953,370338.0,
India,IND,2021,7.228794,6.2515388,1407563904.0,
Indonesia,IDN,2021,8.91211,8.20693,273753184.0,
Iran,IRN,2021,10.655044,10.618327,87923432.0,
Kazakhstan,KAZ,2021,12.31333,12.377705,19196468.0,
Latvia,LVA,2021,12.89022,13.56833,1873926.0,
Lesotho,LSO,2021,5.982825,6.5616727,2281464.0,
Libya,LBY,2021,7.214,8.47,6735280.0,
Madagascar,MDG,2021,5.3393245,4.9144664,28915652.0,
Malawi,MWI,2021,4.667895,4.104783,19889742.0,
Mali,MLI,2021,2.198,2.384,21904990.0,
Nepal,NPL,2021,6.220635,4.1608696,30034988.0,
Niger,NER,2021,2.7894878,1.7082918,25252722.0,
Nigeria,NGA,2021,8.2497635,6.144916,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,5.03535,3.89649,231402112.0,
Peru,PER,2021,10.458695,9.325331,33715464.0,
Qatar,QAT,2021,9.612582,11.618816,2688239.0,
Russia,RUS,2021,12.806499,12.752773,145102752.0,
South Africa,ZAF,2021,12.15235,9.65739,59392256.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,4.21,3.422,45657204.0,
Tanzania,TZA,2021,6.892429,5.9238377,63588332.0,
Togo,TGO,2021,6.828586,3.4008584,8644829.0,
Uganda,UGA,2021,6.6833935,4.896921,45853780.0,
United States,USA,2021,13.62498,13.73783,336997632.0,
Yemen,YEM,2021,5.146,2.88,32981644.0,
Zambia,ZMB,2021,7.225678,7.179212,19473132.0,
