Entity,Code,Year,Deaths - Invasive Non-typhoidal Salmonella (iNTS) - Sex: Both - Age: Under 5 (Number)
African Region (WHO),,1990,26869
African Region (WHO),,1995,31298
African Region (WHO),,2000,40444
African Region (WHO),,2005,57530
African Region (WHO),,2010,56916
African Region (WHO),,2015,46018
African Region (WHO),,2019,47890
Eastern Mediterranean Region (WHO),,1990,709
Eastern Mediterranean Region (WHO),,1995,813
Eastern Mediterranean Region (WHO),,2000,929
Eastern Mediterranean Region (WHO),,2005,1040
Eastern Mediterranean Region (WHO),,2010,822
Eastern Mediterranean Region (WHO),,2015,986
Eastern Mediterranean Region (WHO),,2019,848
European Region (WHO),,1990,74
European Region (WHO),,1995,55
European Region (WHO),,2000,69
European Region (WHO),,2005,51
European Region (WHO),,2010,27
European Region (WHO),,2015,23
European Region (WHO),,2019,19
Region of the Americas (WHO),,1990,121
Region of the Americas (WHO),,1995,77
Region of the Americas (WHO),,2000,48
Region of the Americas (WHO),,2005,39
Region of the Americas (WHO),,2010,35
Region of the Americas (WHO),,2015,32
Region of the Americas (WHO),,2019,32
South-East Asia Region (WHO),,1990,1738
South-East Asia Region (WHO),,1995,1751
South-East Asia Region (WHO),,2000,1310
South-East Asia Region (WHO),,2005,1248
South-East Asia Region (WHO),,2010,1166
South-East Asia Region (WHO),,2015,1016
South-East Asia Region (WHO),,2019,781
Western Pacific Region (WHO),,1990,465
Western Pacific Region (WHO),,1995,366
Western Pacific Region (WHO),,2000,379
Western Pacific Region (WHO),,2005,342
Western Pacific Region (WHO),,2010,320
Western Pacific Region (WHO),,2015,317
Western Pacific Region (WHO),,2019,289
World,OWID_WRL,1990,29986
World,OWID_WRL,1995,34369
World,OWID_WRL,2000,43190
World,OWID_WRL,2005,60263
World,OWID_WRL,2010,59298
World,OWID_WRL,2015,48404
World,OWID_WRL,2019,49869
