Entity,Code,Year,Number of ongoing wars - Conflict type: civil war,Number of ongoing wars - Conflict type: others (non-civil)
Europe,,1800,0,1
Europe,,1808,1,2
Europe,,1816,0,0
Europe,,1824,1,0
Europe,,1832,0,0
Europe,,1840,0,0
Europe,,1848,1,2
Europe,,1856,0,1
Europe,,1864,0,1
Europe,,1872,0,0
Europe,,1880,0,0
Europe,,1888,0,0
Europe,,1896,0,0
Europe,,1904,0,0
Europe,,1912,0,1
Europe,,1920,3,3
Europe,,1928,0,0
Europe,,1936,1,0
Europe,,1944,0,1
Europe,,1952,0,0
Europe,,1960,0,0
Europe,,1968,0,0
Europe,,1976,0,0
Europe,,1984,0,0
Europe,,1992,4,1
Europe,,2000,0,0
Europe,,2011,0,0
