Entity,Code,Year,HAQ Index (IHME (2017))
Botswana,BWA,1990,44.9
Botswana,BWA,1995,45.4
Botswana,BWA,2000,43.7
Botswana,BWA,2005,43.9
Botswana,BWA,2010,48.6
Botswana,BWA,2015,51.1
China,CHN,1990,49.5
China,CHN,1995,53.7
China,CHN,2000,57.8
China,CHN,2005,63.7
China,CHN,2010,69.9
China,CHN,2015,74.2
South Sudan,SSD,1990,33.4
South Sudan,SSD,1995,34.7
South Sudan,SSD,2000,37.5
South Sudan,SSD,2005,39.0
South Sudan,SSD,2010,38.8
South Sudan,SSD,2015,38.8
Sweden,SWE,1990,80.4
Sweden,SWE,1995,83.9
Sweden,SWE,2000,85.7
Sweden,SWE,2005,87.0
Sweden,SWE,2010,88.7
Sweden,SWE,2015,90.5
Switzerland,CHE,1990,81.4
Switzerland,CHE,1995,83.4
Switzerland,CHE,2000,85.4
Switzerland,CHE,2005,88.2
Switzerland,CHE,2010,90.1
Switzerland,CHE,2015,91.8
Tanzania,TZA,1990,39.9
Tanzania,TZA,1995,41.0
Tanzania,TZA,2000,43.1
Tanzania,TZA,2005,46.7
Tanzania,TZA,2010,48.8
Tanzania,TZA,2015,49.9
United States,USA,1990,73.7
United States,USA,1995,76.0
United States,USA,2000,77.8
United States,USA,2005,78.8
United States,USA,2010,80.5
United States,USA,2015,81.3
