Entity,Code,Year,Change in global mean surface temperature caused by greenhouse gas emissions from fossil fuels and industry,Change in global mean surface temperature caused by greenhouse gas emissions from agriculture and land use
Australia,AUS,1851,1.0871768e-06,2.8211853e-05
Australia,AUS,1880,7.16476e-05,0.0013035537
Australia,AUS,1900,0.00019130616,0.0025289627
Australia,AUS,1920,0.0005451513,0.0038210573
Australia,AUS,1940,0.0009270257,0.005141608
Australia,AUS,1960,0.0018044173,0.0075728483
Australia,AUS,1980,0.003933254,0.010789362
Australia,AUS,2021,0.01144384,0.013274264
Brazil,BRA,1851,2.3463065e-06,2.239616e-05
Brazil,BRA,1880,7.777039e-05,0.0007763898
Brazil,BRA,1900,0.00016094686,0.0018208519
Brazil,BRA,1920,0.0003663607,0.00427343
Brazil,BRA,1940,0.00072533253,0.00806504
Brazil,BRA,1960,0.0015064944,0.014208969
Brazil,BRA,1980,0.0041640573,0.027364308
Brazil,BRA,2021,0.016494218,0.06196434
China,CHN,1851,1.3013852e-05,0.00010267947
China,CHN,1880,-2.2532828e-05,0.0012854568
China,CHN,1900,0.00042189236,0.0028797728
China,CHN,1920,0.0014585273,0.005867104
China,CHN,1940,0.0031164582,0.009521962
China,CHN,1960,0.007839362,0.014259017
China,CHN,1980,0.024469823,0.021249924
China,CHN,2021,0.16334566,0.035335135
United Kingdom,GBR,1851,8.0813465e-05,1.0386966e-05
United Kingdom,GBR,1880,0.003884983,0.0004122665
United Kingdom,GBR,1900,0.007874014,0.0008172509
United Kingdom,GBR,1920,0.012981602,0.0012442953
United Kingdom,GBR,1940,0.016901307,0.0015030019
United Kingdom,GBR,1960,0.022736618,0.0018406673
United Kingdom,GBR,1980,0.02919998,0.0022358943
United Kingdom,GBR,2021,0.0363235,0.0025066559
United States,USA,1851,5.8091362e-05,0.0003757792
United States,USA,1880,0.0027984348,0.014669299
United States,USA,1900,0.007868273,0.028196028
United States,USA,1920,0.022809282,0.039858237
United States,USA,1940,0.039859693,0.049153533
United States,USA,1960,0.06890827,0.05567759
United States,USA,1980,0.1183215,0.05833095
United States,USA,2021,0.21983296,0.05936258
World,OWID_WRL,1851,0.0002900023,0.0014449474
World,OWID_WRL,1880,0.013498972,0.04630908
World,OWID_WRL,1900,0.03256403,0.08909618
World,OWID_WRL,1920,0.07078711,0.14060494
World,OWID_WRL,1940,0.11832473,0.19958112
World,OWID_WRL,1960,0.20713401,0.28376767
World,OWID_WRL,1980,0.4139442,0.3763924
World,OWID_WRL,2021,1.062219,0.548381
