Entity,Code,Year,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number)
Russia,RUS,1990,28335
Russia,RUS,1995,61876
Russia,RUS,2000,54883
Russia,RUS,2005,52105
Russia,RUS,2010,31777
Russia,RUS,2015,24223
Russia,RUS,2019,22285
South Africa,ZAF,1990,22158
South Africa,ZAF,1995,23500
South Africa,ZAF,2000,26040
South Africa,ZAF,2005,25736
South Africa,ZAF,2010,21536
South Africa,ZAF,2015,19188
South Africa,ZAF,2019,19122
United States,USA,1990,25341
United States,USA,1995,23477
United States,USA,2000,18204
United States,USA,2005,19380
United States,USA,2010,17329
United States,USA,2015,18164
United States,USA,2019,17709
World,OWID_WRL,1990,373124
World,OWID_WRL,1995,444969
World,OWID_WRL,2000,451150
World,OWID_WRL,2005,436805
World,OWID_WRL,2010,418385
World,OWID_WRL,2015,417393
World,OWID_WRL,2019,415180
