Entity,Code,Year,$2.15 a day - Share of population in poverty,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,6602.424,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,,5467.208,165516224.0,
Benin,BEN,2019,,3156.439,12290443.0,
Bolivia,BOL,2019,1.9205352,8528.749,11777318.0,
Botswana,BWA,2019,,15117.995,2499705.0,
Brazil,BRA,2019,5.388581,14685.128,211782880.0,
Burkina Faso,BFA,2019,,2110.0623,20951638.0,
Central African Republic,CAF,2019,,861.7668,5209329.0,
Chad,TCD,2019,,1561.9967,16126868.0,
China,CHN,2019,0.14242858,15977.764,1421864064.0,
Djibouti,DJI,2019,,4768.113,1073999.0,
East Timor,TLS,2019,,3737.7964,1280442.0,
Egypt,EGY,2019,1.4670148,11180.697,105618672.0,
Eswatini,SWZ,2019,,8501.267,1169620.0,
Ethiopia,ETH,2019,,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,0.051448993,45922.793,64399760.0,
Ghana,GHA,2019,,5345.9414,31522294.0,
Guinea-Bissau,GNB,2019,,1890.5331,1970460.0,
India,IND,2019,12.731296,6608.624,1383112064.0,
Kenya,KEN,2019,,4601.2114,50951452.0,
Kiribati,KIR,2019,1.6780767,1990.518,124252.0,
Mali,MLI,2019,,2219.0466,20567430.0,
Mozambique,MOZ,2019,74.38077,1285.1848,30285602.0,
Myanmar,MMR,2019,,4829.5366,53040212.0,
Niger,NER,2019,,1217.446,23443400.0,
Nigeria,NGA,2019,,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,5157.5464,223293280.0,
Philippines,PHL,2019,,8731.861,110380800.0,
Russia,RUS,2019,0.030001637,27254.574,145742288.0,
Rwanda,RWA,2019,,2191.4016,12835029.0,
Senegal,SEN,2019,,3430.484,16000783.0,
South Africa,ZAF,2019,,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,,4133.1304,43232092.0,
Tajikistan,TJK,2019,,3575.2798,9337008.0,
Tanzania,TZA,2019,,2577.6658,59872584.0,
Uganda,UGA,2019,42.20773,2250.015,42949076.0,
United States,USA,2019,0.99917054,62478.254,334319680.0,
Zambia,ZMB,2019,,3372.359,18380478.0,
