Entity,Code,Year,"Current number of cases of hiv/aids, in both sexes aged all ages"
Jamaica,JAM,1990,2876.1191
Jamaica,JAM,1995,5927.0024
Jamaica,JAM,2000,7633.5303
Jamaica,JAM,2005,7917.9194
Jamaica,JAM,2010,10013.877
Jamaica,JAM,2015,13141.733
Jamaica,JAM,2019,15823.579
Middle East & North Africa (WB),,1990,10743.0205
Middle East & North Africa (WB),,1995,19926.787
Middle East & North Africa (WB),,2000,38873.996
Middle East & North Africa (WB),,2005,56587.484
Middle East & North Africa (WB),,2010,72678.41
Middle East & North Africa (WB),,2015,92017.22
Middle East & North Africa (WB),,2019,114170.48
Thailand,THA,1990,89849.64
Thailand,THA,1995,393346.5
Thailand,THA,2000,419714.84
Thailand,THA,2005,389668.1
Thailand,THA,2010,459188.12
Thailand,THA,2015,506499.12
Thailand,THA,2019,527171.9
Vanuatu,VUT,1990,36.645924
Vanuatu,VUT,1995,58.466515
Vanuatu,VUT,2000,74.830414
Vanuatu,VUT,2005,105.79087
Vanuatu,VUT,2010,180.82181
Vanuatu,VUT,2015,242.83862
Vanuatu,VUT,2019,346.3938
