Entity,Code,Year,Gas consumption - TWh
Argentina,ARG,1965,41.234
Argentina,ARG,1970,58.5445
Argentina,ARG,1980,112.12925
Argentina,ARG,1990,197.32025
Argentina,ARG,2000,322.96722
Argentina,ARG,2010,420.87415
Argentina,ARG,2022,456.82983
Austria,AUT,1965,17.528646
Austria,AUT,1970,28.298002
Austria,AUT,1980,48.073975
Austria,AUT,1990,61.934902
Austria,AUT,2000,78.20515
Austria,AUT,2010,96.12812
Austria,AUT,2022,79.12825
Canada,CAN,1965,216.68422
Canada,CAN,1970,346.3385
Canada,CAN,1980,497.49075
Canada,CAN,1990,637.60443
Canada,CAN,2000,892.2072
Canada,CAN,2010,915.72095
Canada,CAN,2022,1216.2826
China,CHN,1965,11.086529
China,CHN,1970,28.92576
China,CHN,1980,143.82251
China,CHN,1990,154.18336
China,CHN,2000,246.95747
China,CHN,2010,1088.7405
China,CHN,2022,3757.0474
South Korea,KOR,1990,31.641739
South Korea,KOR,2000,198.0775
South Korea,KOR,2010,450.16473
South Korea,KOR,2022,619.28
United Kingdom,GBR,1965,8.59457
United Kingdom,GBR,1970,118.27709
United Kingdom,GBR,1980,468.7704
United Kingdom,GBR,1990,548.7383
United Kingdom,GBR,2000,1013.4171
United Kingdom,GBR,2010,984.9284
United Kingdom,GBR,2022,719.80096
United States,USA,1965,4159.206
United States,USA,1970,5748.658
United States,USA,1980,5337.385
United States,USA,1990,5170.609
United States,USA,2000,6283.9067
United States,USA,2010,6481.9346
United States,USA,2022,8812.123
