Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Annual CO₂ emissions (per capita),Per capita consumption-based CO₂ emissions
Finland,FIN,1990,32939.383,11.4137,16.182888
Finland,FIN,1995,31499.807,11.377576,14.736366
Finland,FIN,2000,39894.195,11.013854,15.275632
Finland,FIN,2005,44786.91,10.874235,15.394042
Finland,FIN,2010,45874.66,11.948101,15.40547
Finland,FIN,2015,45072.59,8.063938,10.059909
Finland,FIN,2022,,6.5267396,
France,FRA,1990,33843.02,6.974127,8.740552
France,FRA,1995,35176.62,6.7303104,8.743783
France,FRA,2000,39726.49,6.9292483,8.850708
France,FRA,2005,41638.03,6.877385,9.11677
France,FRA,2010,42145.684,6.0303707,8.059444
France,FRA,2015,43345.785,5.1937885,6.620695
France,FRA,2022,,4.603891,
Germany,DEU,1990,36699.48,13.288876,15.055098
Germany,DEU,1995,39366.09,11.586038,14.052915
Germany,DEU,2000,42928.18,11.022925,13.287919
Germany,DEU,2005,43949.29,10.656909,12.91943
Germany,DEU,2010,46999.24,10.219843,12.568238
Germany,DEU,2015,51159.297,9.724056,10.886179
Germany,DEU,2022,,7.9837584,
Sweden,SWE,1990,34156.82,6.7275577,10.016137
Sweden,SWE,1995,34233.703,6.794108,9.752882
Sweden,SWE,2000,40625.363,6.1920643,9.678462
Sweden,SWE,2005,45440.297,5.951932,10.087852
Sweden,SWE,2010,47791.37,5.662113,9.182152
Sweden,SWE,2015,50928.965,4.408288,7.235799
Sweden,SWE,2022,,3.6069093,
United Kingdom,GBR,1990,31537.848,10.521594,11.704264
United Kingdom,GBR,1995,33718.508,9.773094,11.122535
United Kingdom,GBR,2000,39080.867,9.669214,12.644138
United Kingdom,GBR,2005,42926.992,9.4452305,12.422789
United Kingdom,GBR,2010,42270.434,8.156536,10.783701
United Kingdom,GBR,2015,44948.336,6.4770393,9.024856
United Kingdom,GBR,2022,,4.7201805,
United States,USA,1990,40456.242,20.642052,20.34809
United States,USA,1995,43047.26,20.421772,20.222986
United States,USA,2000,50175.74,21.282457,22.145792
United States,USA,2005,54338.027,20.658026,22.651945
United States,USA,2010,54516.855,18.25202,19.17141
United States,USA,2015,58427.55,16.562983,17.837778
United States,USA,2022,,14.949616,
