Entity,Code,Year,Consumption of controlled substance (zero-filled) - Chemical: All (Ozone-depleting)
Australia,AUS,1986,18560.4
Australia,AUS,1990,7434.4
Australia,AUS,1995,3120.4
Australia,AUS,2000,484.60004
Australia,AUS,2005,171.0
Australia,AUS,2010,-6.4000015
Australia,AUS,2015,17.19
Australia,AUS,2021,7.8599997
China,CHN,1986,46553.2
China,CHN,1990,59674.0
China,CHN,1995,110469.1
China,CHN,2000,90877.7
China,CHN,2005,31160.1
China,CHN,2010,21388.2
China,CHN,2015,13758.01
China,CHN,2021,10233.891
India,IND,1986,2392.0
India,IND,1995,10286.899
India,IND,2000,18695.6
India,IND,2005,4326.3
India,IND,2010,1933.7
India,IND,2015,958.24
India,IND,2021,218.47
Russia,RUS,1986,129152.0
Russia,RUS,1990,130578.5
Russia,RUS,1995,23641.3
Russia,RUS,2000,25744.102
Russia,RUS,2005,776.1
Russia,RUS,2010,1041.8
Russia,RUS,2015,441.13
Russia,RUS,2021,5.05
United States,USA,1986,363766.6
United States,USA,1990,232862.2
United States,USA,1995,48461.8
United States,USA,2000,3983.3994
United States,USA,2005,10859.699
United States,USA,2010,2329.5
United States,USA,2015,274.07
United States,USA,2021,-1560.5299
