Entity,Code,Year,Terrorism non-fatal injuries
Cambodia,KHM,1970,0
Cambodia,KHM,1980,0
Cambodia,KHM,1990,0
Cambodia,KHM,2000,23
Cambodia,KHM,2010,0
Cambodia,KHM,2021,0
Czechia,CZE,2000,0
Czechia,CZE,2010,0
Czechia,CZE,2021,0
Hungary,HUN,1970,0
Hungary,HUN,1980,0
Hungary,HUN,1990,0
Hungary,HUN,2000,0
Hungary,HUN,2010,0
Hungary,HUN,2021,0
Japan,JPN,1970,0
Japan,JPN,1980,0
Japan,JPN,1990,125
Japan,JPN,2000,0
Japan,JPN,2010,0
Japan,JPN,2021,0
Norway,NOR,1970,0
Norway,NOR,1980,0
Norway,NOR,1990,0
Norway,NOR,2000,0
Norway,NOR,2010,1
Norway,NOR,2021,0
