Entity,Code,Year,Median income or consumption
China,CHN,1990,1.5474635
China,CHN,2010,5.2375927
Ethiopia,ETH,2010,2.7604105
India,IND,2021,3.8284736
Madagascar,MDG,1980,2.205951
Madagascar,MDG,2010,1.1827385
Mauritania,MRT,2000,3.7017233
South Korea,KOR,2010,32.26902
Spain,ESP,1980,17.361542
Spain,ESP,1990,22.780647
Spain,ESP,2000,31.095194
Spain,ESP,2010,38.490673
United States,USA,1963,29.276546
United States,USA,1970,37.552277
United States,USA,1980,42.79412
United States,USA,1990,47.46177
United States,USA,2000,53.177048
United States,USA,2010,53.569782
United States,USA,2021,66.64519
World,OWID_WRL,1990,2.94
World,OWID_WRL,2000,3.52
World,OWID_WRL,2010,5.3
