Entity,Code,Year,"Intercontinental trade, 1500-1800 (Costa, Palma and Reis (2015))"
England and Wales,,1700,0.501504
England and Wales,,1750,0.92788965
England and Wales,,1800,2.7263999
France,FRA,1700,0.068681821
France,FRA,1750,0.20089796
Holland,,1700,0.79052633
Holland,,1750,1.2084211
Portugal,PRT,1500,0.25889623
Portugal,PRT,1600,0.49066454
Portugal,PRT,1700,0.65286404
Portugal,PRT,1750,1.2388709
Portugal,PRT,1800,1.9398113
Spain,ESP,1600,0.18907407
Spain,ESP,1700,0.31009123
Spain,ESP,1750,0.57871836
Spain,ESP,1800,0.48912659
