Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0,libdem_vdem_owid,Population (historical estimates),Continent
Afghanistan,AFG,2021,61.9824,0.043,40099460.0,
Africa,,2021,61.6609,0.27653572,1393676724.0,
Argentina,ARG,2021,75.3899,0.657,45276788.0,
Asia,,2021,72.5321,0.24518368,4693332132.0,
Australia,AUS,2021,84.5265,0.804,25921094.0,
Bangladesh,BGD,2021,72.3811,0.103,169356240.0,
Bolivia,BOL,2021,63.6304,0.357,12079474.0,
Brazil,BRA,2021,72.7504,0.513,214326224.0,
Bulgaria,BGR,2021,71.798,0.555,6885864.0,
Burkina Faso,BFA,2021,59.2696,0.428,22100690.0,
Central African Republic,CAF,2021,53.8947,0.175,5457165.0,
Chad,TCD,2021,52.5254,0.051,17179744.0,
China,CHN,2021,78.2107,0.039,1425893504.0,
Congo,COG,2021,63.5187,0.108,5835814.0,
Costa Rica,CRI,2021,77.0232,0.85,5153959.0,
Croatia,HRV,2021,77.5804,0.65,4060139.0,
Democratic Republic of Congo,COD,2021,59.193,0.15,95894120.0,
East Timor,TLS,2021,67.7369,0.488,1320944.0,
Ecuador,ECU,2021,73.67,0.449,17797736.0,
Eswatini,SWZ,2021,57.0657,0.096,1192273.0,
Ethiopia,ETH,2021,64.9748,0.144,120283024.0,
Europe,,2021,77.0336,0.63592684,746417727.0,
France,FRA,2021,82.4988,0.791,64531448.0,
Gabon,GAB,2021,65.821,0.206,2341185.0,
Georgia,GEO,2021,71.694,0.497,3757984.0,
Germany,DEU,2021,80.6301,0.823,83408560.0,
Greece,GRC,2021,80.1106,0.655,10445368.0,
Honduras,HND,2021,70.1229,0.252,10278346.0,
Hong Kong,HKG,2021,85.4734,0.153,7494580.0,
India,IND,2021,67.2398,0.332,1407563904.0,
Indonesia,IDN,2021,67.5703,0.413,273753184.0,
Iraq,IRQ,2021,70.3779,0.218,43533592.0,
Israel,ISR,2021,82.255,0.651,8900057.0,
Jamaica,JAM,2021,70.5003,0.693,2827701.0,
Japan,JPN,2021,84.7839,0.739,124612528.0,
Kenya,KEN,2021,61.427,0.403,53005616.0,
Kuwait,KWT,2021,78.6729,0.29,4250111.0,
Laos,LAO,2021,68.0608,0.099,7425055.0,
Latvia,LVA,2021,73.5786,0.735,1873926.0,
Lesotho,LSO,2021,53.062,0.505,2281464.0,
Liberia,LBR,2021,60.7472,0.461,5193422.0,
Madagascar,MDG,2021,64.4853,0.26,28915652.0,
Maldives,MDV,2021,79.9182,0.441,521469.0,
Malta,MLT,2021,83.7769,0.64,526751.0,
Mexico,MEX,2021,70.2127,0.371,126705136.0,
Moldova,MDA,2021,68.8459,0.616,3061509.0,
Morocco,MAR,2021,74.0419,0.24,37076588.0,
Myanmar,MMR,2021,65.6716,0.05,53798088.0,
Nigeria,NGA,2021,52.676,0.329,213401328.0,
North America,,2021,,0.4538,597123384.0,
North Korea,PRK,2021,73.2845,0.014,25971910.0,
Oceania,,2021,79.4444,0.5615,44492065.0,
Pakistan,PAK,2021,66.0979,0.266,231402112.0,
Panama,PAN,2021,76.2233,0.552,4351264.0,
Paraguay,PRY,2021,70.2617,0.43,6703802.0,
Peru,PER,2021,72.3769,0.661,33715464.0,
Poland,POL,2021,76.4572,0.425,38307724.0,
Russia,RUS,2021,69.419,0.102,145102752.0,
Senegal,SEN,2021,67.0926,0.566,16876726.0,
Singapore,SGP,2021,82.7545,0.345,5941063.0,
Slovakia,SVK,2021,74.9101,0.778,5447621.0,
Somalia,SOM,2021,55.2803,0.102,17065588.0,
South Africa,ZAF,2021,62.341,0.582,59392256.0,
South America,,2021,,0.51358336,434254167.0,
Suriname,SUR,2021,70.2743,0.623,612989.0,
Sweden,SWE,2021,82.9833,0.871,10467095.0,
Taiwan,TWN,2021,81.0073,0.707,23859904.0,
Tanzania,TZA,2021,66.2007,0.339,63588332.0,
Thailand,THA,2021,78.7154,0.171,71601104.0,
Tunisia,TUN,2021,73.7719,0.388,12262949.0,
Turkey,TUR,2021,76.0324,0.123,84775408.0,
Uganda,UGA,2021,62.7048,0.203,45853780.0,
Ukraine,UKR,2021,71.624,0.312,43531424.0,
United States,USA,2021,77.1982,0.735,336997632.0,
Yemen,YEM,2021,63.7534,0.035,32981644.0,
Zambia,ZMB,2021,61.2234,0.318,19473132.0,
