Entity,Code,Year,Deaths - Substance use disorders - Sex: Both - Age: Age-standardized (Rate)
Bhutan,BTN,1990,1.39
Bhutan,BTN,1995,1.37
Bhutan,BTN,2000,1.38
Bhutan,BTN,2005,1.34
Bhutan,BTN,2010,1.34
Bhutan,BTN,2015,1.32
Bhutan,BTN,2019,1.31
Montenegro,MNE,1990,1.19
Montenegro,MNE,1995,1.23
Montenegro,MNE,2000,1.37
Montenegro,MNE,2005,1.33
Montenegro,MNE,2010,1.21
Montenegro,MNE,2015,1.14
Montenegro,MNE,2019,1.11
New Zealand,NZL,1990,1.64
New Zealand,NZL,1995,1.73
New Zealand,NZL,2000,1.79
New Zealand,NZL,2005,2.02
New Zealand,NZL,2010,2.17
New Zealand,NZL,2015,2.19
New Zealand,NZL,2019,2.32
Northern Ireland,,1990,2.21
Northern Ireland,,1995,2.76
Northern Ireland,,2000,3.83
Northern Ireland,,2005,5.04
Northern Ireland,,2010,5.71
Northern Ireland,,2015,5.64
Northern Ireland,,2019,5.68
