Entity,Code,Year,"4.b.1 - Total official flows for scholarships, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_SCHIPSL"
Cameroon,CMR,2006,890000.0
Cameroon,CMR,2008,3550000.0
Cameroon,CMR,2010,3740000.0
Cameroon,CMR,2012,3770000.0
Cameroon,CMR,2014,8520000.0
Cameroon,CMR,2016,8940000.0
Cameroon,CMR,2018,10450000.0
Cameroon,CMR,2020,13740000.0
Cameroon,CMR,2021,12070000.0
Dominica,DMA,2006,10000.0
Dominica,DMA,2008,60000.0
Dominica,DMA,2010,40000.0
Dominica,DMA,2012,160000.0
Dominica,DMA,2014,280000.0
Dominica,DMA,2016,260000.0
Dominica,DMA,2018,350000.0
Dominica,DMA,2020,440000.0
Dominica,DMA,2021,250000.0
Nepal,NPL,2006,1780000.0
Nepal,NPL,2008,2280000.0
Nepal,NPL,2010,9530000.0
Nepal,NPL,2012,8480000.0
Nepal,NPL,2014,6320000.0
Nepal,NPL,2016,5030000.0
Nepal,NPL,2018,4610000.0
Nepal,NPL,2020,9400000.0
Nepal,NPL,2021,7600000.0
Niger,NER,2006,1310000.0
Niger,NER,2008,1750000.0
Niger,NER,2010,21240000.0
Niger,NER,2012,1360000.0
Niger,NER,2014,1000000.0
Niger,NER,2016,790000.0
Niger,NER,2018,1430000.0
Niger,NER,2020,2730000.0
Niger,NER,2021,1650000.0
Oceania (UN),,2006,43010000.0
Oceania (UN),,2008,32750000.0
Oceania (UN),,2010,53580000.0
Oceania (UN),,2012,52160000.0
Oceania (UN),,2014,58700000.0
Oceania (UN),,2016,62750000.0
Oceania (UN),,2018,51360000.0
Oceania (UN),,2020,48550000.0
Oceania (UN),,2021,16620000.000000002
