Entity,Code,Year,"Taxes on income, profits and capital gains (TIPCG) (as a share of GDP)"
Brazil,BRA,1990,5.3454547
Brazil,BRA,1995,5.2058663
Brazil,BRA,2000,5.726578
Brazil,BRA,2005,6.8674355
Brazil,BRA,2010,6.6584625
Brazil,BRA,2015,6.6879044
Brazil,BRA,2021,7.821162
China,CHN,1990,4.4651213
China,CHN,1995,2.1080956
China,CHN,2000,2.6252778
China,CHN,2005,3.9640415
China,CHN,2010,4.3287497
China,CHN,2015,5.16565
China,CHN,2021,4.8938923
Germany,DEU,1980,12.727033
Germany,DEU,1985,12.514627
Germany,DEU,1990,11.177567
Germany,DEU,1995,10.991206
Germany,DEU,2000,10.964397
Germany,DEU,2005,9.597082
Germany,DEU,2010,10.053697
Germany,DEU,2015,11.614411
Germany,DEU,2021,12.867412
India,IND,1985,1.8761836
India,IND,1990,1.8268123
India,IND,1995,2.7112844
India,IND,2000,3.1172318
India,IND,2005,4.3883514
India,IND,2010,5.624605
India,IND,2015,5.3272333
Italy,ITA,1980,8.896912
Italy,ITA,1985,11.910893
Italy,ITA,1990,13.47156
Italy,ITA,1995,13.571101
Italy,ITA,2000,13.444252
Italy,ITA,2005,12.3238945
Italy,ITA,2010,13.625655
Italy,ITA,2015,13.648702
Italy,ITA,2021,13.711317
Nigeria,NGA,1995,2.7011251
Nigeria,NGA,2000,6.219632
Nigeria,NGA,2005,7.4045873
