Entity,Code,Year,Number of Internet users
Africa,,1990,0
Africa,,1995,324226
Africa,,2000,4528437
Africa,,2005,33022913
Africa,,2010,95786792
Africa,,2015,233756129
Africa,,2020,451617356
Asia,,1990,40687
Asia,,1995,3260653
Asia,,2000,108432227
Asia,,2005,355153006
Asia,,2010,940345597
Asia,,2015,1522234131
Asia,,2020,2557593407
Europe,,1990,399647
Europe,,1995,8317883
Europe,,2000,109142637
Europe,,2005,288630793
Europe,,2010,459473148
Europe,,2015,549731594
Europe,,2020,632245905
North America,,1990,2046626
North America,,1995,25896301
North America,,2000,144214970
North America,,2005,250868733
North America,,2010,302162765
North America,,2015,375180404
North America,,2020,480339051
Oceania,,1990,99747
Oceania,,1995,677551
Oceania,,2000,10866548
Oceania,,2005,15732623
Oceania,,2010,20961790
Oceania,,2015,25930310
Oceania,,2020,27679360
South America,,1990,0
South America,,1995,375674
South America,,2000,13423270
South America,,2005,66535946
South America,,2010,152951887
South America,,2015,237260929
South America,,2020,313033045
World,OWID_WRL,1990,2617438
World,OWID_WRL,1995,39137572
World,OWID_WRL,2000,414012675
World,OWID_WRL,2005,1029379295
World,OWID_WRL,2010,2021152970
World,OWID_WRL,2015,3004582521
World,OWID_WRL,2020,4699886462
