Entity,Code,Year,"Current number of cases of neoplasms per 100 people, in both sexes aged age-standardized"
Cuba,CUB,1990,5.320111
Cuba,CUB,1995,5.3619094
Cuba,CUB,2000,5.4243145
Cuba,CUB,2005,5.5305114
Cuba,CUB,2010,5.574084
Cuba,CUB,2015,5.629803
Cuba,CUB,2019,5.6847477
Cyprus,CYP,1990,5.2127542
Cyprus,CYP,1995,5.363415
Cyprus,CYP,2000,4.7780676
Cyprus,CYP,2005,4.899359
Cyprus,CYP,2010,5.16124
Cyprus,CYP,2015,5.4280534
Cyprus,CYP,2019,6.0063224
Israel,ISR,1990,7.2535987
Israel,ISR,1995,7.40906
Israel,ISR,2000,7.5463114
Israel,ISR,2005,7.609429
Israel,ISR,2010,7.613144
Israel,ISR,2015,7.571931
Israel,ISR,2019,7.5871778
Switzerland,CHE,1990,7.8189435
Switzerland,CHE,1995,8.380522
Switzerland,CHE,2000,8.55701
Switzerland,CHE,2005,8.526908
Switzerland,CHE,2010,8.32068
Switzerland,CHE,2015,8.029068
Switzerland,CHE,2019,7.9878345
