Entity,Code,Year,Annual CO₂ emissions from coal
Bahamas,BHS,1950,0.0
Bahamas,BHS,2000,3664.0
Bahamas,BHS,2022,3420.0
Brunei,BRN,1950,0.0
Brunei,BRN,2000,0.0
Brunei,BRN,2022,2173457.0
Europe (excl. EU-27),,1750,9305937.0
Europe (excl. EU-27),,1800,31340080.0
Europe (excl. EU-27),,1850,122585200.0
Europe (excl. EU-27),,1900,467297540.0
Europe (excl. EU-27),,1950,931233860.0
Europe (excl. EU-27),,2000,756389600.0
Europe (excl. EU-27),,2022,495479230.0
Jamaica,JAM,1950,43382.0
Jamaica,JAM,2000,190528.0
Jamaica,JAM,2022,270159.0
Mongolia,MNG,1950,285792.0
Mongolia,MNG,2000,6136557.0
Mongolia,MNG,2022,32194794.0
Mozambique,MOZ,1950,715237.0
Mozambique,MOZ,2000,0.0
Mozambique,MOZ,2022,89768.0
Russia,RUS,1850,69427.0
Russia,RUS,1900,29097232.0
Russia,RUS,1950,329789280.0
Russia,RUS,2000,427009570.0
Russia,RUS,2022,355406620.0
Tonga,TON,1950,0.0
Tonga,TON,2000,0.0
Tonga,TON,2022,0.0
