Entity,Code,Year,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: Age-standardized (Rate)
Antigua and Barbuda,ATG,1990,20.92
Antigua and Barbuda,ATG,1995,21.21
Antigua and Barbuda,ATG,2000,21.33
Antigua and Barbuda,ATG,2005,21.11
Antigua and Barbuda,ATG,2010,21.59
Antigua and Barbuda,ATG,2015,21.71
Antigua and Barbuda,ATG,2019,21.5
El Salvador,SLV,1990,22.42
El Salvador,SLV,1995,22.99
El Salvador,SLV,2000,23.2
El Salvador,SLV,2005,23.29
El Salvador,SLV,2010,23.27
El Salvador,SLV,2015,23.98
El Salvador,SLV,2019,23.64
Georgia,GEO,1990,22.26
Georgia,GEO,1995,21.85
Georgia,GEO,2000,22.75
Georgia,GEO,2005,23.75
Georgia,GEO,2010,22.96
Georgia,GEO,2015,22.98
Georgia,GEO,2019,22.82
Indonesia,IDN,1990,19.15
Indonesia,IDN,1995,19.88
Indonesia,IDN,2000,20.62
Indonesia,IDN,2005,21.52
Indonesia,IDN,2010,21.99
Indonesia,IDN,2015,22.23
Indonesia,IDN,2019,22.46
Jamaica,JAM,1990,20.34
Jamaica,JAM,1995,20.76
Jamaica,JAM,2000,20.68
Jamaica,JAM,2005,20.34
Jamaica,JAM,2010,20.5
Jamaica,JAM,2015,20.67
Jamaica,JAM,2019,20.42
Panama,PAN,1990,22.75
Panama,PAN,1995,23.5
Panama,PAN,2000,23.32
Panama,PAN,2005,23.82
Panama,PAN,2010,23.68
Panama,PAN,2015,23.66
Panama,PAN,2019,23.4
