Entity,Code,Year,Annual CO₂ emissions embedded in trade (per capita)
Bangladesh,BGD,1990,0.039242014
Bangladesh,BGD,1995,0.04529514
Bangladesh,BGD,2000,-0.0072900355
Bangladesh,BGD,2005,0.008410661
Bangladesh,BGD,2010,-0.007224286
Bangladesh,BGD,2015,-0.00046946714
Bangladesh,BGD,2021,0.30177414
China,CHN,1990,-0.14259218
China,CHN,1995,-0.30183908
China,CHN,2000,-0.30588934
China,CHN,2005,-0.8923065
China,CHN,2010,-0.9522585
China,CHN,2015,-0.71667814
China,CHN,2021,-0.7126366
European Union (27),,1990,1.2699507
European Union (27),,1995,1.4286268
European Union (27),,2000,1.4356573
European Union (27),,2005,1.792775
European Union (27),,2010,1.9739957
European Union (27),,2015,1.1435236
European Union (27),,2021,1.5556854
India,IND,1990,-0.0029432795
India,IND,1995,-0.042801615
India,IND,2000,-0.06545145
India,IND,2005,-0.07733031
India,IND,2010,-0.08034032
India,IND,2015,-0.10508864
India,IND,2021,-0.16091439
South Africa,ZAF,1990,-2.3507388
South Africa,ZAF,1995,-2.0655293
South Africa,ZAF,2000,-1.9660667
South Africa,ZAF,2005,-2.3889732
South Africa,ZAF,2010,-2.432858
South Africa,ZAF,2015,-1.9939722
South Africa,ZAF,2021,-2.1536562
United Kingdom,GBR,1990,1.1826696
United Kingdom,GBR,1995,1.3494403
United Kingdom,GBR,2000,2.9749243
United Kingdom,GBR,2005,2.9775581
United Kingdom,GBR,2010,2.6271653
United Kingdom,GBR,2015,2.5478163
United Kingdom,GBR,2021,2.4662967
United States,USA,1990,-0.29396218
United States,USA,1995,-0.19878648
United States,USA,2000,0.8633336
United States,USA,2005,1.9939207
United States,USA,2010,0.9193901
United States,USA,2015,1.2747942
United States,USA,2021,1.6022674
