Entity,Code,Year,Annual CO₂ emissions from cement
Burundi,BDI,1950,0.0
Burundi,BDI,2022,2542.0
Europe (excl. EU-27),,1750,0.0
Europe (excl. EU-27),,1800,0.0
Europe (excl. EU-27),,1850,0.0
Europe (excl. EU-27),,1900,0.0
Europe (excl. EU-27),,1950,10157477.0
Europe (excl. EU-27),,2000,28795980.0
Europe (excl. EU-27),,2022,39199140.0
Senegal,SEN,2000,542164.0
Senegal,SEN,2022,2895735.0
Slovenia,SVN,1950,107023.0
Slovenia,SVN,2000,490674.0
Slovenia,SVN,2022,468855.0
United Kingdom,GBR,1950,4899051.0
United Kingdom,GBR,2000,6331884.0
United Kingdom,GBR,2022,4072634.2
