Entity,Code,Year,"Average working hours of children, study and work, ages 7-14 (hours per week)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2016,,,1232111820.0,
Algeria,DZA,2016,,11888.323,40339328.0,
Asia,,2016,,,4502955714.0,
Bangladesh,BGD,2016,,4589.0938,159784576.0,
Belarus,BLR,2016,,17883.127,9708111.0,
Bolivia,BOL,2016,,8034.173,11263016.0,
Brazil,BRA,2016,,14402.494,206859584.0,
Cambodia,KHM,2016,,3761.9114,15624586.0,
Chad,TCD,2016,,1683.4781,14592587.0,
Chile,CHL,2016,,24599.375,18083880.0,
Costa Rica,CRI,2016,10.19,19553.6,4945205.0,
Dominican Republic,DOM,2016,,15967.202,10527589.0,
El Salvador,SLV,2016,,8450.251,6250513.0,
Ethiopia,ETH,2016,,1864.4877,105293232.0,
Europe,,2016,,,744516175.0,
Guatemala,GTM,2016,,8206.048,16291004.0,
Haiti,HTI,2016,,3153.1763,10713845.0,
Honduras,HND,2016,,5287.253,9460798.0,
Iraq,IRQ,2016,,10404.204,38697940.0,
Jamaica,JAM,2016,,9906.04,2802699.0,
Jordan,JOR,2016,15.54,9633.101,9964659.0,
Kyrgyzstan,KGZ,2016,,4912.3823,6018303.0,
Mali,MLI,2016,,2112.187,18700108.0,
Mexico,MEX,2016,,19830.963,121519224.0,
Mongolia,MNG,2016,,11058.95,3029559.0,
Nepal,NPL,2016,,3244.6743,27861186.0,
Niger,NER,2016,,1143.8607,20921748.0,
Nigeria,NGA,2016,,5209.074,188666928.0,
North America,,2016,,,576008328.0,
Pakistan,PAK,2016,,4746.718,213524848.0,
Panama,PAN,2016,,29410.635,4026338.0,
Paraguay,PRY,2016,,13163.74,6266623.0,
Peru,PER,2016,,12321.318,31132776.0,
Serbia,SRB,2016,,16185.742,7493288.0,
South America,,2016,,,417101806.0,
Tanzania,TZA,2016,,2380.9314,54401804.0,
Uganda,UGA,2016,,2137.2073,38748308.0,
Ukraine,UKR,2016,,11536.316,44833568.0,
Vietnam,VNM,2016,,8545.702,93126528.0,
