Entity,Code,Year,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
Cameroon,CMR,1990,38.69651
Cameroon,CMR,2000,17.765488
Cameroon,CMR,2010,23.327393
Cameroon,CMR,2015,29.594112
Cameroon,CMR,2019,34.456142
Chad,TCD,1990,7.8392153
Chad,TCD,2000,4.0203896
Chad,TCD,2010,9.838234
Chad,TCD,2015,12.449286
Chad,TCD,2019,11.966868
Guinea-Bissau,GNB,2000,3.9642081
Guinea-Bissau,GNB,2010,5.095862
Guinea-Bissau,GNB,2015,5.9898834
Guinea-Bissau,GNB,2019,7.1355963
Saudi Arabia,SAU,2000,18.580526
Saudi Arabia,SAU,2010,23.198654
Saudi Arabia,SAU,2015,28.730064
Saudi Arabia,SAU,2019,29.047358
South Sudan,SSD,2015,18.23374
Sub-Saharan Africa (WB),,1970,34.255695
Sub-Saharan Africa (WB),,1980,6.844802
Sub-Saharan Africa (WB),,1990,10.490222
Sub-Saharan Africa (WB),,2000,10.513357
Sub-Saharan Africa (WB),,2010,14.270965
Sub-Saharan Africa (WB),,2015,13.479055
Sub-Saharan Africa (WB),,2019,14.244685
Switzerland,CHE,1980,146.17633
Switzerland,CHE,1990,175.49986
Switzerland,CHE,2000,209.08826
Switzerland,CHE,2010,301.95795
Switzerland,CHE,2015,406.8886
Switzerland,CHE,2019,438.4447
