Entity,Code,Year,Infant mortality rate - Sex: all - Age: 0 - Variant: estimates
Belgium,BEL,1950,5.2668
Belgium,BEL,1960,3.06292
Belgium,BEL,1970,2.11309
Belgium,BEL,1980,1.2151101
Belgium,BEL,1990,0.80182
Belgium,BEL,2000,0.48487002
Belgium,BEL,2010,0.36273
Belgium,BEL,2021,0.34744
Congo,COG,1950,15.45354
Congo,COG,1960,11.3612
Congo,COG,1970,8.52745
Congo,COG,1980,6.9284897
Congo,COG,1990,6.05192
Congo,COG,2000,7.30803
Congo,COG,2010,4.35931
Congo,COG,2021,3.16591
Thailand,THA,1950,13.92792
Thailand,THA,1960,10.33323
Thailand,THA,1970,7.3127503
Thailand,THA,1980,4.74465
Thailand,THA,1990,3.0146601
Thailand,THA,2000,1.84156
Thailand,THA,2010,1.15783
Thailand,THA,2021,0.70788
