Entity,Code,Year,"Death rate per 100,000 people - Cause: Diabetes mellitus - Sex: Both sexes - Age group: ALLAges"
Afghanistan,AFG,2000,9.91
Afghanistan,AFG,2005,11.72
Afghanistan,AFG,2010,12.4
Afghanistan,AFG,2015,13.57
Afghanistan,AFG,2019,15.13
Eswatini,SWZ,2000,57.23
Eswatini,SWZ,2005,90.92
Eswatini,SWZ,2010,96.32
Eswatini,SWZ,2015,81.09
Eswatini,SWZ,2019,77.69
Guyana,GUY,2000,48.46
Guyana,GUY,2005,59.59
Guyana,GUY,2010,56.95
Guyana,GUY,2015,63.33
Guyana,GUY,2019,73.92
Mexico,MEX,2000,38.01
Mexico,MEX,2005,49.18
Mexico,MEX,2010,53.57
Mexico,MEX,2015,60.48
Mexico,MEX,2019,67.27
South Sudan,SSD,2000,11.57
South Sudan,SSD,2005,11.01
South Sudan,SSD,2010,10.81
South Sudan,SSD,2015,10.93
South Sudan,SSD,2019,11.82
