Entity,Code,Year,Renewables (TWh - equivalent)
China,CHN,1965,65.34059
China,CHN,1970,71.07749
China,CHN,1980,172.1594
China,CHN,1990,374.97653
China,CHN,2000,667.5333
China,CHN,2010,2212.7656
China,CHN,2022,7092.607
France,FRA,1965,138.62688
France,FRA,1970,171.98064
France,FRA,1980,210.28564
France,FRA,1990,165.38867
France,FRA,2000,209.57436
France,FRA,2010,246.42253
France,FRA,2022,340.6239
India,IND,1965,56.67643
India,IND,1970,90.00013
India,IND,1980,163.93954
India,IND,1990,196.54498
India,IND,2000,237.74086
India,IND,2010,412.76053
India,IND,2022,1053.022
United Kingdom,GBR,1965,13.637634
United Kingdom,GBR,1970,13.412903
United Kingdom,GBR,1980,11.691936
United Kingdom,GBR,1990,17.060034
United Kingdom,GBR,2000,30.230263
United Kingdom,GBR,2010,91.090454
United Kingdom,GBR,2022,392.91623
United States,USA,1965,630.85175
United States,USA,1970,801.2031
United States,USA,1980,917.0749
United States,USA,1990,1068.0892
United States,USA,2000,1069.0793
United States,USA,2010,1515.7327
United States,USA,2022,3014.9297
