Entity,Code,Year,Fish landings by British vessels
England and Wales,,1889,205314.9415
England and Wales,,1900,288254.853
England and Wales,,1920,482935.9489
England and Wales,,1940,161269.5608
England and Wales,,1960,520171.8847
England and Wales,,1980,146210.0
England and Wales,,2000,67500.0
England and Wales,,2007,47575.75758
United Kingdom,GBR,1889,310628.867
United Kingdom,GBR,1900,388405.6852
United Kingdom,GBR,1920,642343.7307
United Kingdom,GBR,1940,239911.5938
United Kingdom,GBR,1960,693478.5535
United Kingdom,GBR,1980,373101.0
United Kingdom,GBR,2000,255900.0
United Kingdom,GBR,2007,148000.0
