Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,"Prevalence of wasting, weight for height (% of children under 5)",Continent
Afghanistan,AFG,2021,5.565748,,
Albania,ALB,2021,0.9455919,,
Algeria,DZA,2021,2.2335286,,
Bangladesh,BGD,2021,2.727363,,
Benin,BEN,2021,8.352425,,
Burkina Faso,BFA,2021,8.260758,,
Burundi,BDI,2021,5.260476,,
Cameroon,CMR,2021,6.9788027,,
Central African Republic,CAF,2021,9.991608,,
Chad,TCD,2021,10.706548,10.2,
Cuba,CUB,2021,0.5001638,,
Democratic Republic of Congo,COD,2021,7.8960543,,
Djibouti,DJI,2021,5.414123,,
Dominican Republic,DOM,2021,3.3002884,,
East Timor,TLS,2021,5.0548973,,
Ecuador,ECU,2021,1.2460622,,
Ethiopia,ETH,2021,4.6811466,,
Europe,,2021,0.4408454,,
Gambia,GMB,2021,4.7885857,,
Georgia,GEO,2021,0.94797814,,
Guinea,GIN,2021,9.872694,,
Guinea-Bissau,GNB,2021,7.4305315,,
Guyana,GUY,2021,2.767837,,
Haiti,HTI,2021,5.8632684,,
Honduras,HND,2021,1.6555912,,
India,IND,2021,3.0619214,,
Indonesia,IDN,2021,2.2173412,,
Jordan,JOR,2021,1.4598967,,
Kiribati,KIR,2021,4.822911,,
Lesotho,LSO,2021,7.2925363,,
Liberia,LBR,2021,7.604017,,
Low-income countries,,2021,6.7406783,,
Lower-middle-income countries,,2021,4.3651476,,
Malawi,MWI,2021,4.1899285,,
Malaysia,MYS,2021,0.75561273,,
Mali,MLI,2021,9.706693,9.3,
Mauritania,MRT,2021,4.049846,10.1,
Mozambique,MOZ,2021,6.9558425,,
Myanmar,MMR,2021,4.181237,,
Nepal,NPL,2021,2.716347,,
Niger,NER,2021,11.515188,11.5,
Nigeria,NGA,2021,11.081927,,
North America,,2021,0.61332315,,
North Macedonia,MKD,2021,0.53106034,,
Oceania,,2021,2.0269809,,
Samoa,WSM,2021,1.671849,,
Senegal,SEN,2021,3.8599858,,
Suriname,SUR,2021,1.7175814,,
Tajikistan,TJK,2021,3.1419,,
Thailand,THA,2021,0.8291029,,
Togo,TGO,2021,6.260445,,
Turkmenistan,TKM,2021,4.1427803,,
