Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate)
Cambodia,KHM,1990,125.39
Cambodia,KHM,1995,124.54
Cambodia,KHM,2000,120.83
Cambodia,KHM,2005,118.73
Cambodia,KHM,2010,119.53
Cambodia,KHM,2015,121.95
Cambodia,KHM,2019,125.26
Europe & Central Asia (WB),,1990,168.95
Europe & Central Asia (WB),,1995,172.99
Europe & Central Asia (WB),,2000,163.07
Europe & Central Asia (WB),,2005,158.22
Europe & Central Asia (WB),,2010,150.48
Europe & Central Asia (WB),,2015,145.26
Europe & Central Asia (WB),,2019,140.66
Latin America & Caribbean (WB),,1990,135.63
Latin America & Caribbean (WB),,1995,133.38
Latin America & Caribbean (WB),,2000,130.0
Latin America & Caribbean (WB),,2005,125.96
Latin America & Caribbean (WB),,2010,122.17
Latin America & Caribbean (WB),,2015,117.29
Latin America & Caribbean (WB),,2019,115.95
Micronesia (country),FSM,1990,157.68
Micronesia (country),FSM,1995,160.48
Micronesia (country),FSM,2000,159.41
Micronesia (country),FSM,2005,160.69
Micronesia (country),FSM,2010,164.03
Micronesia (country),FSM,2015,166.15
Micronesia (country),FSM,2019,168.85
Northern Ireland,,1990,187.02
Northern Ireland,,1995,172.58
Northern Ireland,,2000,160.56
Northern Ireland,,2005,156.14
Northern Ireland,,2010,158.98
Northern Ireland,,2015,156.48
Northern Ireland,,2019,158.49
