Entity,Code,Year,Deaths - Lower respiratory infections - Sex: Both - Age: Age-standardized (Rate)
Belgium,BEL,1990,22.85
Belgium,BEL,1995,23.89
Belgium,BEL,2000,28.57
Belgium,BEL,2005,26.81
Belgium,BEL,2010,22.78
Belgium,BEL,2015,21.59
Belgium,BEL,2019,21.27
Eswatini,SWZ,1990,120.47
Eswatini,SWZ,1995,115.95
Eswatini,SWZ,2000,134.79
Eswatini,SWZ,2005,153.46
Eswatini,SWZ,2010,137.95
Eswatini,SWZ,2015,114.56
Eswatini,SWZ,2019,105.5
Thailand,THA,1990,30.09
Thailand,THA,1995,26.52
Thailand,THA,2000,25.19
Thailand,THA,2005,26.79
Thailand,THA,2010,30.27
Thailand,THA,2015,33.57
Thailand,THA,2019,33.22
