Entity,Code,Year,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",Population (historical estimates),Continent
Africa,,1960,,284288223.0,
Africa,,2021,,1393676724.0,
Argentina,ARG,1960,23.23,20349748.0,
Argentina,ARG,2021,50.48,45276788.0,
Asia,,1960,,1698939691.0,
Asia,,2021,,4693332132.0,
Brazil,BRA,1960,18.45,73092520.0,
Brazil,BRA,2021,52.37,214326224.0,
Dominican Republic,DOM,1960,11.01,3298024.0,
Dominican Republic,DOM,2021,51.33,11117873.0,
Europe,,1960,,606215982.0,
Europe,,2021,,746417727.0,
Finland,FIN,1960,48.53,4430178.0,
Finland,FIN,2021,56.68,5535982.0,
Hungary,HUN,1960,42.92,9982618.0,
Hungary,HUN,2021,52.81,9709784.0,
Iceland,ISL,1960,32.63,175583.0,
Iceland,ISL,2021,69.27,370338.0,
Japan,JPN,1960,54.5,94464840.0,
Japan,JPN,2021,53.5,124612528.0,
Morocco,MAR,1960,8.79,11769782.0,
Morocco,MAR,2021,20.9,37076588.0,
North America,,1960,,264916376.0,
North America,,2021,,597123384.0,
Philippines,PHL,1960,27.21,28486868.0,
Philippines,PHL,2021,44.05,113880336.0,
Poland,POL,1960,58.57,29509902.0,
Poland,POL,2021,49.52,38307724.0,
South America,,1960,,149224306.0,
South America,,2021,,434254167.0,
Switzerland,CHE,1960,35.29,5328275.0,
Switzerland,CHE,2021,62.23,8691409.0,
Trinidad and Tobago,TTO,1960,30.61,847067.0,
Trinidad and Tobago,TTO,2021,46.31,1525671.0,
Turkey,TUR,1960,65.44,27510982.0,
Turkey,TUR,2021,32.82,84775408.0,
United States,USA,1960,37.7,176188576.0,
United States,USA,2021,56.09,336997632.0,
