Entity,Code,Year,Share of employment in industry (Herrendorf et al. and GGDC-10 data),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,1800,,,,81273172.0,
Africa,,2011,,,,1082676070.0,
Africa,,2015,,,,1201108186.0,
Argentina,ARG,2011,20.7,20003.0,,41520736.0,
Argentina,ARG,1800,,1484.0,,534000.0,
Argentina,ARG,2015,,19502.0,,43257064.0,South America
Asia,,1800,,,,683181540.0,
Asia,,2011,,,,4268479060.0,
Asia,,2015,,,,4458250376.0,
Bolivia,BOL,2011,,5331.0,,10396249.0,
Bolivia,BOL,2015,,6200.0,,11090090.0,South America
Bolivia,BOL,1800,,,,887000.0,
Botswana,BWA,2011,,13376.0,,2134043.0,
Botswana,BWA,2015,,14805.0,,2305177.0,Africa
Botswana,BWA,1800,,,,121000.0,
Brazil,BRA,2011,19.8,14831.0,,198185296.0,
Brazil,BRA,1800,,867.0,,2500000.0,
Brazil,BRA,2015,,15826.0,,205188208.0,South America
China,CHN,2011,29.0,10221.0,,1357095424.0,
China,CHN,1800,,926.259,,330000000.0,
China,CHN,2015,,12244.0,,1393715456.0,Asia
Egypt,EGY,2011,23.4,10737.0,,89200056.0,
Egypt,EGY,2015,,11159.0,,97723792.0,Africa
Egypt,EGY,1800,,,,3500000.0,
Ethiopia,ETH,2011,9.9,1199.0,,91817936.0,
Ethiopia,ETH,2015,,1553.0,,102471896.0,Africa
Ethiopia,ETH,1800,,,,12032589.0,
Europe,,1800,,,,195246412.0,
Europe,,2011,,,,738734474.0,
Europe,,2015,,,,743294457.0,
Germany,DEU,1800,,1572.0,,18000000.0,
Germany,DEU,2011,,43189.0,,81423384.0,
Germany,DEU,2015,,44293.0,,82073232.0,Europe
Hong Kong,HKG,2011,11.6,44532.0,,7175370.0,
Hong Kong,HKG,2015,,47777.0,,7399845.0,Asia
Hong Kong,HKG,1800,,,,20000.0,
India,IND,2011,,4768.0,,1257621248.0,
India,IND,2015,,5794.0,,1322866560.0,Asia
India,IND,1800,,,,200733034.0,
Indonesia,IDN,2011,19.1,8849.0,,247099696.0,
Indonesia,IDN,2015,,10484.0,,259091968.0,Asia
Indonesia,IDN,1800,,,,16108545.0,
Italy,ITA,2011,26.6,35151.0,,60025952.0,
Italy,ITA,1800,,2403.9426,,19000000.0,
Italy,ITA,2015,,33118.0,,60232908.0,Europe
Japan,JPN,2011,22.8,34979.0,,128007256.0,
Japan,JPN,1800,,1317.0,,28000000.0,
Japan,JPN,2015,,37031.0,,127250936.0,Asia
Kenya,KEN,2011,16.3,2712.0,,42635148.0,
Kenya,KEN,2015,,3046.0,,46851496.0,Africa
Kenya,KEN,1800,,,,2574000.0,
Malaysia,MYS,2011,27.9,19390.0,,29184140.0,
Malaysia,MYS,2015,,22432.0,,31068834.0,Asia
Malaysia,MYS,1800,,,,287000.0,
Mexico,MEX,2011,25.7,15210.0,,114150480.0,
Mexico,MEX,1800,,1305.0,,5100000.0,
Mexico,MEX,2015,,16096.0,,120149896.0,North America
Morocco,MAR,2011,25.3,7226.0,,32903708.0,
Morocco,MAR,2015,,8001.0,,34680456.0,Africa
Morocco,MAR,1800,,,,2500000.0,
Nigeria,NGA,2011,6.6,5136.0,,165463744.0,
Nigeria,NGA,2015,,5578.0,,183995776.0,Africa
Nigeria,NGA,1800,,,,12100860.0,
North America,,1800,,,,14745403.0,
North America,,2011,,,,548684151.0,
North America,,2015,,,,570726015.0,
Peru,PER,2011,17.1,10044.0,,29477722.0,
Peru,PER,1800,,1058.0,,1271000.0,
Peru,PER,2015,,11445.0,,30711864.0,South America
Philippines,PHL,2011,14.6,5851.0,,96337912.0,
Philippines,PHL,2015,,7047.0,,103031360.0,Asia
Philippines,PHL,1800,,,,2500000.0,
Senegal,SEN,2011,,2123.0,,12875878.0,
Senegal,SEN,2015,,2311.0,,14356191.0,Africa
Senegal,SEN,1800,,,,1009886.0,
Singapore,SGP,2011,28.8,61672.0,,5281351.0,
Singapore,SGP,2015,,65660.0,,5650020.0,Asia
Singapore,SGP,1800,,,,30000.0,
South America,,1800,,,,9277933.0,
South America,,2011,,,,397135158.0,
South America,,2015,,,,413134461.0,
Spain,ESP,2011,,31600.0,,46729232.0,
Spain,ESP,2015,,31847.0,,46431344.0,Europe
Spain,ESP,1800,,,,11500000.0,
Sweden,SWE,1800,,1366.0,,2500000.0,
Sweden,SWE,2011,,42079.0,,9467384.0,
Sweden,SWE,2015,,43746.0,,9849344.0,Europe
Taiwan,TWN,2011,35.3,38565.0,,23143076.0,
Taiwan,TWN,2015,,41668.0,,23512136.0,Asia
Taiwan,TWN,1800,,,,2000000.0,
Tanzania,TZA,2011,5.5,2227.0,,46416032.0,
Tanzania,TZA,2015,,2566.0,,52542824.0,Africa
Tanzania,TZA,1800,,,,3000000.0,
United Kingdom,GBR,2011,18.9,34971.0,,63286360.0,
United Kingdom,GBR,1800,,3343.0,,10750000.0,
United Kingdom,GBR,2015,,36941.0,,65224368.0,Europe
United States,USA,2011,14.8,49675.0,,313876608.0,
United States,USA,2015,14.9,52591.0,,324607776.0,North America
United States,USA,1800,,2545.488,,6000000.0,
Zambia,ZMB,2011,,3205.0,,14265824.0,
Zambia,ZMB,2015,,3478.0,,16248231.0,Africa
Zambia,ZMB,1800,,,,747000.0,
