Entity,Code,Year,Fixed broadband subscriptions
China,CHN,2000,22660.0
China,CHN,2005,37350000.0
China,CHN,2010,126337000.0
China,CHN,2015,277046000.0
China,CHN,2021,535786000.0
India,IND,2005,1348000.0
India,IND,2010,10990000.0
India,IND,2015,16942750.0
India,IND,2021,27560000.0
Japan,JPN,1998,32000.0
Japan,JPN,2000,854655.0
Japan,JPN,2005,23301104.0
Japan,JPN,2010,34101776.0
Japan,JPN,2015,38872580.0
Japan,JPN,2021,44965600.0
United Kingdom,GBR,2000,52890.0
United Kingdom,GBR,2005,9898653.0
United Kingdom,GBR,2010,19151508.0
United Kingdom,GBR,2015,24663108.0
United Kingdom,GBR,2021,27738000.0
United States,USA,1998,705900.0
United States,USA,2000,7069874.0
United States,USA,2005,51156350.0
United States,USA,2010,84522000.0
United States,USA,2015,102212000.0
United States,USA,2021,127032000.0
