Entity,Code,Year,Gini index of consumption in 2015 (inc. non-survey years),Gini index of consumption in 1990 (inc. non-survey years),Population (historical estimates),Country grouping
Angola,AGO,2015,43.504532,51.521481,28127724,Sub-Saharan Africa
Angola,AGO,1990,,,11828643,
Belarus,BLR,2015,27.088884,28.328497,9700609,Eastern Europe and Central Asia
Belarus,BLR,1990,,,10428527,
Bhutan,BTN,2015,38.793407,46.814514,743284,South Asia
Bhutan,BTN,1990,,,558449,
Botswana,BWA,2015,58.615334,62.334461,2305177,Sub-Saharan Africa
Botswana,BWA,1990,,,1341480,
Brazil,BRA,2015,45.971485,48.751183,205188208,Latin America and Caribbean
Brazil,BRA,1990,,,150706448,
Burkina Faso,BFA,2015,35.507668,46.759731,18718022,Sub-Saharan Africa
Burkina Faso,BFA,1990,,,9131362,
Central African Republic,CAF,2015,53.850979,61.345341,4819341,Sub-Saharan Africa
Central African Republic,CAF,1990,,,2809223,
China,CHN,2015,43.555542,36.495564,1393715456,East Asia and Pacific
China,CHN,1990,,,1153704192,
Congo,COG,2015,48.784889,47.518738,5064390,Sub-Saharan Africa
Congo,COG,1990,,,2385433,
Egypt,EGY,2015,46.851677,30.949345,97723792,Middle East and North Africa
Egypt,EGY,1990,,,57214632,
Eswatini,SWZ,2015,51.704437,57.86824,1133941,Sub-Saharan Africa
Eswatini,SWZ,1990,,,854020,
Ethiopia,ETH,2015,32.883823,39.621506,102471896,Sub-Saharan Africa
Ethiopia,ETH,1990,,,47878076,
Fiji,FJI,2015,41.529484,36.148647,917209,East Asia and Pacific
Fiji,FJI,1990,,,780437,
Germany,DEU,2015,33.817596,31.020407,82073232,Advanced industrial economies
Germany,DEU,1990,,,79370192,
Ghana,GHA,2015,38.735611,37.181473,28870946,Sub-Saharan Africa
Ghana,GHA,1990,,,15446987,
Hungary,HUN,2015,34.31216,26.971489,9844250,Eastern Europe and Central Asia
Hungary,HUN,1990,,,10375989,
India,IND,2015,37.318645,34.192726,1322866560,South Asia
India,IND,1990,,,870452160,
Iran,IRN,2015,37.329964,43.602394,81790848,Middle East and North Africa
Iran,IRN,1990,,,55793628,
Japan,JPN,2015,29.952902,25.437832,127250936,Advanced industrial economies
Japan,JPN,1990,,,123686320,
Kenya,KEN,2015,46.992088,53.945221,46851496,Sub-Saharan Africa
Kenya,KEN,1990,,,23162270,
Kyrgyzstan,KGZ,2015,26.747513,40.803432,5914985,Eastern Europe and Central Asia
Kyrgyzstan,KGZ,1990,,,4394738,
Lithuania,LTU,2015,36.768715,29.589792,2963764,Eastern Europe and Central Asia
Lithuania,LTU,1990,,,3785851,
Malawi,MWI,2015,43.737831,60.945045,16938944,Sub-Saharan Africa
Malawi,MWI,1990,,,9539669,
Mauritania,MRT,2015,32.236389,46.714592,3946225,Sub-Saharan Africa
Mauritania,MRT,1990,,,2006035,
Moldova,MDA,2015,26.753014,32.811188,3277390,Eastern Europe and Central Asia
Moldova,MDA,1990,,,4480206,
Namibia,NAM,2015,48.123367,71.589561,2282709,Sub-Saharan Africa
Namibia,NAM,1990,,,1369016,
Nigeria,NGA,2015,46.108742,43.191357,183995776,Sub-Saharan Africa
Nigeria,NGA,1990,,,95214256,
Pakistan,PAK,2015,30.728018,33.317226,210969296,South Asia
Pakistan,PAK,1990,,,115414072,
Philippines,PHL,2015,42.985165,42.772652,103031360,East Asia and Pacific
Philippines,PHL,1990,,,61558900,
Rwanda,RWA,2015,48.707939,35.366112,11642963,Sub-Saharan Africa
Rwanda,RWA,1990,,,7319970,
Senegal,SEN,2015,40.347549,53.332634,14356191,Sub-Saharan Africa
Senegal,SEN,1990,,,7536003,
Sierra Leone,SLE,2015,34.065483,65.730072,7314779,Sub-Saharan Africa
Sierra Leone,SLE,1990,,,4325390,
Singapore,SGP,2015,30.875874,39.416691,5650020,Advanced industrial economies
Singapore,SGP,1990,,,3022218,
South Africa,ZAF,2015,66.58017,57.864708,55876504,Sub-Saharan Africa
South Africa,ZAF,1990,,,39877568,
Taiwan,TWN,2015,22.994432,26.621433,23512136,Advanced industrial economies
Taiwan,TWN,1990,,,20586176,
Turkey,TUR,2015,40.238667,42.565552,79646176,Eastern Europe and Central Asia
Turkey,TUR,1990,,,54324140,
Ukraine,UKR,2015,24.034107,31.974821,44982568,Eastern Europe and Central Asia
Ukraine,UKR,1990,,,51589816,
United Kingdom,GBR,2015,35.470196,35.464771,65224368,Advanced industrial economies
United Kingdom,GBR,1990,,,57210444,
Zambia,ZMB,2015,54.235046,53.332417,16248231,Sub-Saharan Africa
Zambia,ZMB,1990,,,7686405,
