Entity,Code,Year,Milk | 00001780 || Yield | 005420 || kilograms per animal
Croatia,HRV,2000,1578.0
Croatia,HRV,2010,2643.7
Croatia,HRV,2021,2235.3
Melanesia,OWID_MNS,1961,941.7
Melanesia,OWID_MNS,1970,1123.3
Melanesia,OWID_MNS,1980,1258.0
Melanesia,OWID_MNS,1990,1205.8
Melanesia,OWID_MNS,2000,1325.7001
Melanesia,OWID_MNS,2010,359.9
Melanesia,OWID_MNS,2021,354.5
Togo,TGO,1961,225.0
Togo,TGO,1970,225.0
Togo,TGO,1980,225.0
Togo,TGO,1990,225.0
Togo,TGO,2000,218.2
Togo,TGO,2010,158.0
Togo,TGO,2021,178.1
Venezuela,VEN,1961,944.8
Venezuela,VEN,1970,1002.3
Venezuela,VEN,1980,1150.4
Venezuela,VEN,1990,1279.7001
Venezuela,VEN,2000,1031.0
Venezuela,VEN,2010,1261.1
Venezuela,VEN,2021,938.60004
