Entity,Code,Year,Female to male ratio of time devoted to unpaid care work (OECD (2014))
Algeria,DZA,2014,6.75
Argentina,ARG,2014,2.88
Australia,AUS,2014,1.81
Bangladesh,BGD,2014,3.77
Belgium,BEL,2014,1.69
Brazil,BRA,2014,2.7
Chile,CHL,2014,1.71
China,CHN,2014,2.57
Colombia,COL,2014,3.23
Cuba,CUB,2014,3.0
Denmark,DNK,2014,1.3
India,IND,2014,9.83
Kazakhstan,KAZ,2014,1.73
Portugal,PRT,2014,4.25
South Africa,ZAF,2014,2.77
Spain,ESP,2014,3.04
Switzerland,CHE,2014,1.75
Thailand,THA,2014,1.77
Turkey,TUR,2014,6.22
Uganda,UGA,2014,1.18
United States,USA,2014,1.61
