Entity,Code,Year,"Average price on emissions covered by a carbon tax, weighted by the share of the country's CO₂ emissions"
Canada,CAN,1989,0.0
Canada,CAN,1995,0.0
Canada,CAN,2000,0.0
Canada,CAN,2005,0.0
Canada,CAN,2010,0.0
Canada,CAN,2015,1.3733317
Canada,CAN,2021,11.490305
Finland,FIN,1989,0.0
Finland,FIN,1995,5.065509
Finland,FIN,2000,12.079785
Finland,FIN,2005,11.871289
Finland,FIN,2010,10.362027
Finland,FIN,2015,36.979176
Finland,FIN,2021,37.892097
France,FRA,1989,0.0
France,FRA,1995,0.0
France,FRA,2000,0.0
France,FRA,2005,0.0
France,FRA,2010,0.0
France,FRA,2015,10.707229
France,FRA,2021,31.289219
Norway,NOR,1989,0.0
Norway,NOR,1995,44.947735
Norway,NOR,2000,43.243877
Norway,NOR,2005,31.18149
Norway,NOR,2010,16.373352
Norway,NOR,2015,17.36105
South Africa,ZAF,1989,0.0
South Africa,ZAF,1995,0.0
South Africa,ZAF,2000,0.0
South Africa,ZAF,2005,0.0
South Africa,ZAF,2010,0.0
South Africa,ZAF,2015,0.0
South Africa,ZAF,2021,8.147216
Sweden,SWE,1989,0.0
Sweden,SWE,1995,30.658566
Sweden,SWE,2000,34.80268
Sweden,SWE,2005,69.40545
Sweden,SWE,2010,68.29033
Sweden,SWE,2015,71.51759
Sweden,SWE,2021,55.09485
United Kingdom,GBR,1989,0.0
United Kingdom,GBR,1995,0.0
United Kingdom,GBR,2000,0.0
United Kingdom,GBR,2005,0.0
United Kingdom,GBR,2010,0.0
United Kingdom,GBR,2015,5.442432
United Kingdom,GBR,2021,3.5399458
United States,USA,1989,0.0
United States,USA,1995,0.0
United States,USA,2000,0.0
United States,USA,2005,0.0
United States,USA,2010,0.0
United States,USA,2015,0.0
United States,USA,2021,0.0
