Entity,Code,Year,Daily protein supply of plant origin (FAO (2017)),Daily protein supply of animal origin (FAO (2017)),Population (historical estimates),Continent
Africa,,2013,,,1140180888.0,
Albania,ALB,2013,52.0,59.42,2887019.0,
Angola,AGO,2013,38.86,18.4,26147012.0,
Argentina,ARG,2013,35.7,66.94,42388268.0,
Asia,,2013,,,4365286895.0,
Azerbaijan,AZE,2013,63.07,30.08,9614478.0,
Bahamas,BHS,2013,30.19,56.43,385660.0,
Brazil,BRA,2013,42.4,52.59,201721776.0,
Burkina Faso,BFA,2013,68.31,11.07,17636414.0,
Chile,CHL,2013,42.09,45.27,17509926.0,
China,CHN,2013,58.4,39.64,1376100352.0,
Colombia,COL,2013,30.9,33.48,46237928.0,
Congo,COG,2013,29.41,22.25,4828073.0,
Cuba,CUB,2013,59.09,31.77,11321583.0,
Ecuador,ECU,2013,24.83,36.53,15722988.0,
Egypt,EGY,2013,76.9,26.34,93377896.0,
Europe,,2013,,,741180502.0,
Germany,DEU,2013,40.11,61.48,81680592.0,
Grenada,GRD,2013,27.6,41.59,116954.0,
Guyana,GUY,2013,43.44,36.07,747424.0,
Honduras,HND,2013,41.68,23.2,8960654.0,
Hong Kong,HKG,2013,34.77,94.41,7296820.0,
India,IND,2013,48.26,11.99,1291132032.0,
Iran,IRN,2013,65.06,22.22,78458928.0,
Israel,ISR,2013,55.67,72.47,7726675.0,
Japan,JPN,2013,39.27,48.46,127678920.0,
Jordan,JOR,2013,52.41,27.18,7694818.0,
Kuwait,KWT,2013,54.66,53.58,3646520.0,
Lesotho,LSO,2013,60.74,12.78,2073948.0,
Liberia,LBR,2013,29.52,8.14,4427319.0,
Lithuania,LTU,2013,48.0,76.49,3028191.0,
Macao,MAC,2013,33.74,61.1,593382.0,
Maldives,MDV,2013,36.47,85.96,400741.0,
Mali,MLI,2013,61.51,23.69,17004038.0,
Mexico,MEX,2013,46.97,40.66,117290680.0,
Mongolia,MNG,2013,32.26,48.53,2845160.0,
Mozambique,MOZ,2013,39.35,6.35,25251738.0,
Netherlands,NLD,2013,35.95,75.77,16867352.0,
Nicaragua,NIC,2013,48.42,21.2,6119377.0,
Niger,NER,2013,66.21,14.73,18653204.0,
Nigeria,NGA,2013,53.91,9.85,174726128.0,
North America,,2013,,,560056144.0,
Oceania,,2013,,,39057783.0,
Pakistan,PAK,2013,38.23,27.26,205337552.0,
Peru,PER,2013,47.88,27.04,30038810.0,
Portugal,PRT,2013,43.6,67.28,10464537.0,
Russia,RUS,2013,46.66,56.18,143956864.0,
Rwanda,RWA,2013,51.22,5.59,11101352.0,
Serbia,SRB,2013,42.29,39.93,7566674.0,
South Africa,ZAF,2013,48.95,36.38,53873608.0,
South America,,2013,,,405147963.0,
South Korea,KOR,2013,50.07,46.13,50098228.0,
Tunisia,TUN,2013,70.22,28.37,11300284.0,
Turkey,TUR,2013,71.81,36.31,76576120.0,
Uganda,UGA,2013,40.29,12.39,35273568.0,
United States,USA,2013,39.82,69.78,319375168.0,
Venezuela,VEN,2013,34.89,38.12,29838022.0,
Vietnam,VNM,2013,50.56,31.05,90267736.0,
