Entity,Code,Year,"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Rate)"
Finland,FIN,1990,2.18
Finland,FIN,1995,1.86
Finland,FIN,2000,1.65
Finland,FIN,2005,1.7
Finland,FIN,2010,1.55
Finland,FIN,2015,1.3
Finland,FIN,2019,1.27
Luxembourg,LUX,1990,0.97
Luxembourg,LUX,1995,0.85
Luxembourg,LUX,2000,0.71
Luxembourg,LUX,2005,0.62
Luxembourg,LUX,2010,0.55
Luxembourg,LUX,2015,0.49
Luxembourg,LUX,2019,0.47
North America (WB),,1990,2.06
North America (WB),,1995,1.71
North America (WB),,2000,1.49
North America (WB),,2005,1.33
North America (WB),,2010,1.11
North America (WB),,2015,1.15
North America (WB),,2019,1.08
Papua New Guinea,PNG,1990,7.86
Papua New Guinea,PNG,1995,8.24
Papua New Guinea,PNG,2000,8.79
Papua New Guinea,PNG,2005,8.82
Papua New Guinea,PNG,2010,8.38
Papua New Guinea,PNG,2015,7.54
Papua New Guinea,PNG,2019,7.27
