Entity,Code,Year,Child dependency ratio - Sex: all - Age: none - Variant: estimates
Congo,COG,1960,78.64
Congo,COG,1970,85.74
Congo,COG,1980,89.59
Congo,COG,1990,84.68
Congo,COG,2000,78.75
Congo,COG,2010,71.56
Congo,COG,2021,74.04
Israel,ISR,1960,58.03
Israel,ISR,1970,53.23
Israel,ISR,1980,55.97
Israel,ISR,1990,51.39
Israel,ISR,2000,45.3
Israel,ISR,2010,44.67
Israel,ISR,2021,47.03
Uzbekistan,UZB,1960,75.31
Uzbekistan,UZB,1970,89.68
Uzbekistan,UZB,1980,74.53
Uzbekistan,UZB,1990,71.59
Uzbekistan,UZB,2000,63.0
Uzbekistan,UZB,2010,44.17
Uzbekistan,UZB,2021,46.3
