Entity,Code,Year,"Current number of cases of malaria per 100 people, in both sexes aged age-standardized"
Cote d'Ivoire,CIV,1990,42.579586
Cote d'Ivoire,CIV,1995,43.142258
Cote d'Ivoire,CIV,2000,43.838497
Cote d'Ivoire,CIV,2005,46.565845
Cote d'Ivoire,CIV,2010,38.923836
Cote d'Ivoire,CIV,2015,21.864614
Cote d'Ivoire,CIV,2019,25.868464
Indonesia,IDN,1990,0.6379254
Indonesia,IDN,1995,0.5688055
Indonesia,IDN,2000,0.4160241
Indonesia,IDN,2005,0.34239632
Indonesia,IDN,2010,0.6668493
Indonesia,IDN,2015,0.26220658
Indonesia,IDN,2019,0.3060825
Northern Mariana Islands,MNP,1990,0.0
Northern Mariana Islands,MNP,1995,0.0
Northern Mariana Islands,MNP,2000,0.0
Northern Mariana Islands,MNP,2005,0.0
Northern Mariana Islands,MNP,2010,0.0
Northern Mariana Islands,MNP,2015,0.0
Northern Mariana Islands,MNP,2019,0.0
Taiwan,TWN,1990,0.0
Taiwan,TWN,1995,0.0
Taiwan,TWN,2000,0.0
Taiwan,TWN,2005,0.0
Taiwan,TWN,2010,0.0
Taiwan,TWN,2015,0.0
Taiwan,TWN,2019,0.0
