Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sanitation per 100,000 people, in both sexes aged age-standardized","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2019,4.5809956,2079.9219,
Albania,ALB,2019,0.042436365,13655.665,
Algeria,DZA,2019,0.2764633,11627.28,
Angola,AGO,2019,38.339672,6602.424,
Antigua and Barbuda,ATG,2019,0.38005576,23035.658,
Argentina,ARG,2019,0.15345638,22071.748,
Armenia,ARM,2019,0.18674695,14317.553,
Australia,AUS,2019,0.018086713,49379.094,
Austria,AUT,2019,0.036029562,55806.438,
Azerbaijan,AZE,2019,0.68301946,14442.041,
Bahamas,BHS,2019,0.15948331,35161.832,
Bahrain,BHR,2019,0.24442744,49768.977,
Bangladesh,BGD,2019,17.739527,5467.208,
Belarus,BLR,2019,0.02631559,19279.209,
Belgium,BEL,2019,0.05659741,51977.184,
Belize,BLZ,2019,1.2235562,9028.552,
Benin,BEN,2019,37.87928,3156.439,
Bermuda,BMU,2019,0.03635733,81681.73,
Bhutan,BTN,2019,12.548159,11797.284,
Bolivia,BOL,2019,2.355011,8528.749,
Botswana,BWA,2019,15.81435,15117.995,
Brazil,BRA,2019,1.2525148,14685.128,
Bulgaria,BGR,2019,0.011518093,23270.225,
Burkina Faso,BFA,2019,56.86476,2110.0623,
Burundi,BDI,2019,66.38214,729.65845,
Cambodia,KHM,2019,7.9470963,4464.2944,
Canada,CAN,2019,0.08979454,49171.51,
Cape Verde,CPV,2019,4.743831,6835.0786,
Central African Republic,CAF,2019,148.09947,861.7668,
Chile,CHL,2019,0.2566324,24816.611,
Costa Rica,CRI,2019,0.09098277,20818.062,
Croatia,HRV,2019,0.018202834,29352.79,
Cyprus,CYP,2019,0.027556388,41746.918,
Democratic Republic of Congo,COD,2019,34.860355,1059.8921,
Djibouti,DJI,2019,26.00909,4768.113,
Dominican Republic,DOM,2019,1.5952194,18171.06,
East Timor,TLS,2019,17.521986,3737.7964,
Egypt,EGY,2019,2.5196846,11180.697,
Equatorial Guinea,GNQ,2019,5.8946757,16240.37,
Eswatini,SWZ,2019,36.13079,8501.267,
Fiji,FJI,2019,5.3164253,13241.354,
Finland,FIN,2019,0.0061753797,48583.434,
Greece,GRC,2019,0.0053730304,29721.586,
Grenada,GRD,2019,0.45790488,15393.791,
Haiti,HTI,2019,21.687138,3101.5942,
Iceland,ISL,2019,0.0108014615,56923.17,
Iraq,IRQ,2019,0.44316795,10299.316,
Jordan,JOR,2019,0.062052306,9551.165,
Kenya,KEN,2019,38.927597,4601.2114,
Kyrgyzstan,KGZ,2019,0.84083813,5258.3667,
Lithuania,LTU,2019,0.058968488,37184.453,
Luxembourg,LUX,2019,0.018887457,114542.5,
Namibia,NAM,2019,21.112427,10009.578,
Nicaragua,NIC,2019,1.8279994,5348.9873,
Palestine,PSE,2019,0.14619665,6245.4487,
Portugal,PRT,2019,0.088914484,34945.66,
Saint Kitts and Nevis,KNA,2019,0.8259115,31194.736,
San Marino,SMR,2019,0.0037026587,60076.01,
Slovakia,SVK,2019,0.009219109,31973.46,
Tajikistan,TJK,2019,4.4465094,3575.2798,
Ukraine,UKR,2019,0.06533129,12804.955,
Vietnam,VNM,2019,0.80698204,10252.005,
World,OWID_WRL,2019,10.37797,16847.46,
