Entity,Code,Year,Share - Question: mh6 - Friends/family have been anxious/depressed - Answer: Yes - Gender: all - Age group: all,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Very comfortable - Gender: all - Age group: all,Population,Continent
Africa,,2020,33.484043,31.021803,1360677453.0,
Algeria,DZA,2020,20.884764,31.641382,43451668.0,
Argentina,ARG,2020,53.234257,26.543772,45036032.0,
Asia,,2020,25.892347,24.826124,4663086623.0,
Austria,AUT,2020,42.142483,47.740067,8907780.0,
Bangladesh,BGD,2020,22.883198,26.184614,167420944.0,
Belgium,BEL,2020,42.672997,11.0023155,11561716.0,
Brazil,BRA,2020,61.725372,27.168146,213196304.0,
Bulgaria,BGR,2020,47.124836,19.051838,6979181.0,
Cambodia,KHM,2020,22.219103,15.366249,16396864.0,
Canada,CAN,2020,58.324074,8.873781,37888704.0,
China,CHN,2020,21.913126,10.248862,1424929792.0,
Colombia,COL,2020,51.28259,21.957514,50930656.0,
Croatia,HRV,2020,40.152596,20.000946,4096872.0,
Egypt,EGY,2020,35.42763,56.098743,107465128.0,
Estonia,EST,2020,37.842278,4.61636,1329449.0,
Ethiopia,ETH,2020,24.882984,44.583668,117190920.0,
Europe,,2020,43.475174,19.050577,747462669.0,
Finland,FIN,2020,40.43572,6.6289506,5529468.0,
France,FRA,2020,57.2112,12.134365,64480052.0,
Gabon,GAB,2020,46.43156,25.64844,2292583.0,
Germany,DEU,2020,52.195538,49.547153,83328992.0,
Ghana,GHA,2020,35.92629,14.284058,32180402.0,
High-income countries,,2020,44.07919,15.034522,1218093003.0,
India,IND,2020,26.50521,42.248962,1396387072.0,
Indonesia,IDN,2020,29.187101,26.980623,271857984.0,
Iraq,IRQ,2020,50.357956,58.25895,42556988.0,
Japan,JPN,2020,31.678333,2.7134778,125244760.0,
Kenya,KEN,2020,49.985973,31.118677,51985780.0,
Kyrgyzstan,KGZ,2020,27.42716,34.736515,6424880.0,
Laos,LAO,2020,21.14193,56.50934,7319397.0,
Lithuania,LTU,2020,17.998308,8.994,2820269.0,
Lower-middle-income countries,,2020,29.390387,34.85157,3369707355.0,
Mauritius,MUS,2020,47.314816,37.353085,1297830.0,
Mongolia,MNG,2020,25.305897,17.31226,3294340.0,
Morocco,MAR,2020,37.85448,55.639908,36688768.0,
Nepal,NPL,2020,26.043339,31.990816,29348626.0,
Nicaragua,NIC,2020,50.45718,26.092758,6755900.0,
Nigeria,NGA,2020,27.819183,11.506056,208327408.0,
North America,,2020,48.02914,10.888448,594263186.0,
Oceania,,2020,51.023983,7.2630644,43933757.0,
Poland,POL,2020,35.588154,17.411058,38428368.0,
Russia,RUS,2020,37.334717,9.941295,145617328.0,
Saudi Arabia,SAU,2020,38.68466,49.74626,35997108.0,
Senegal,SEN,2020,38.488594,23.88905,16436120.0,
Serbia,SRB,2020,29.346733,21.168327,7358010.0,
South America,,2020,58.902065,25.215714,431530105.0,
Spain,ESP,2020,54.802452,22.522491,47363808.0,
Sweden,SWE,2020,53.63253,15.146934,10368968.0,
Switzerland,CHE,2020,39.720978,34.36771,8638609.0,
Thailand,THA,2020,18.311497,31.828373,71475664.0,
Tunisia,TUN,2020,51.430737,46.760735,12161720.0,
United Arab Emirates,ARE,2020,37.641083,39.16091,9287286.0,
Upper-middle-income countries,,2020,30.693647,15.149798,2541463877.0,
Uzbekistan,UZB,2020,29.187244,50.216694,33526662.0,
Venezuela,VEN,2020,60.228554,19.484858,28490458.0,
Vietnam,VNM,2020,39.873585,28.22067,96648680.0,
World,OWID_WRL,2020,32.799664,23.61903,7840952832.0,
Zambia,ZMB,2020,57.336536,31.303564,18927716.0,
Zimbabwe,ZWE,2020,45.03686,45.67105,15669663.0,
