Entity,Code,Year,regime_amb_row_owid
Argentina,ARG,1789,0
Argentina,ARG,1850,0
Argentina,ARG,1900,3
Argentina,ARG,1950,3
Argentina,ARG,2000,6
Argentina,ARG,2018,6
Argentina,ARG,2022,6
Australia,AUS,1789,0
Australia,AUS,1850,0
Australia,AUS,1900,8
Australia,AUS,1950,9
Australia,AUS,2000,9
Australia,AUS,2018,9
Australia,AUS,2022,9
Botswana,BWA,1900,0
Botswana,BWA,1950,0
Botswana,BWA,2000,8
Botswana,BWA,2018,8
Botswana,BWA,2022,6
China,CHN,1789,0
China,CHN,1850,0
China,CHN,1900,0
China,CHN,1950,0
China,CHN,2000,0
China,CHN,2018,0
China,CHN,2022,0
