Entity,Code,Year,Percentage reporting that they do not want  homosexual neighbors,Percentage reporting homosexuality is never justified ,Population (historical estimates),Continent
Africa,,2014,,,1170299297.0,
Africa,,2016,,,1232111820.0,
Argentina,ARG,2014,,,42824064.0,
Argentina,ARG,2016,,,43668236.0,
Asia,,2014,,,4412496398.0,
Asia,,2016,,,4502955714.0,
Australia,AUS,2014,,,23469578.0,
Australia,AUS,2016,,,24195706.0,
Azerbaijan,AZE,2014,,,9741879.0,
Azerbaijan,AZE,2016,,,9976254.0,
Brazil,BRA,2014,11.149013,36.256378,203459648.0,
Brazil,BRA,2016,,,206859584.0,
Bulgaria,BGR,2014,,,7372142.0,
Bulgaria,BGR,2016,,,7245982.0,
Chile,CHL,2014,,,17687108.0,
Chile,CHL,2016,,,18083880.0,
China,CHN,2014,,,1385189632.0,
China,CHN,2016,,,1401889664.0,
Colombia,COL,2014,,,46677944.0,
Colombia,COL,2016,,,47625960.0,
Cyprus,CYP,2014,,,1176997.0,
Cyprus,CYP,2016,,,1197889.0,
Estonia,EST,2014,,,1314531.0,
Estonia,EST,2016,,,1315928.0,
Ethiopia,ETH,2014,,,99746768.0,
Ethiopia,ETH,2016,,,105293232.0,
Europe,,2014,,,742190861.0,
Europe,,2016,,,744516175.0,
France,FRA,2014,,,63588496.0,
France,FRA,2016,,,63989320.0,
Germany,DEU,2014,,,81858824.0,
Germany,DEU,2016,,,82331432.0,
Ghana,GHA,2014,,,28196356.0,
Ghana,GHA,2016,,,29554298.0,
Haiti,HTI,2016,74.196785,42.050751,10713845.0,
Haiti,HTI,2014,,,10412741.0,
Hong Kong,HKG,2014,33.5,28.514057,7352180.0,
Hong Kong,HKG,2016,,,7435925.0,
India,IND,2014,,,1307246464.0,
India,IND,2016,,,1338636288.0,
Indonesia,IDN,2014,,,256229760.0,
Indonesia,IDN,2016,,,261850176.0,
Iran,IRN,2014,,,79961672.0,
Iran,IRN,2016,,,83306232.0,
Iraq,IRQ,2014,,,36746484.0,
Iraq,IRQ,2016,,,38697940.0,
Jordan,JOR,2014,62.0,87.107719,8658030.0,
Jordan,JOR,2016,,,9964659.0,
Kyrgyzstan,KGZ,2014,,,5814426.0,
Kyrgyzstan,KGZ,2016,,,6018303.0,
Lebanon,LBN,2014,,,6274345.0,
Lebanon,LBN,2016,,,6258628.0,
Libya,LBY,2014,76.460861,78.581543,6097767.0,
Libya,LBY,2016,,,6282202.0,
Mexico,MEX,2014,,,118755888.0,
Mexico,MEX,2016,,,121519224.0,
Morocco,MAR,2014,,,34248608.0,
Morocco,MAR,2016,,,35107272.0,
Netherlands,NLD,2014,,,16954080.0,
Netherlands,NLD,2016,,,17124512.0,
New Zealand,NZL,2014,,,4514198.0,
New Zealand,NZL,2016,,,4668088.0,
Nigeria,NGA,2014,,,179379024.0,
Nigeria,NGA,2016,,,188666928.0,
North America,,2014,,,565486685.0,
North America,,2016,,,576008328.0,
Oceania,,2014,,,39729340.0,
Oceania,,2016,,,41101240.0,
Pakistan,PAK,2014,,,208251632.0,
Pakistan,PAK,2016,,,213524848.0,
Peru,PER,2014,,,30353956.0,
Peru,PER,2016,,,31132776.0,
Philippines,PHL,2014,,,101325208.0,
Philippines,PHL,2016,,,104875272.0,
Romania,ROU,2014,,,19995836.0,
Romania,ROU,2016,,,19797820.0,
Russia,RUS,2014,,,144285072.0,
Russia,RUS,2016,,,145109152.0,
Rwanda,RWA,2014,,,11368450.0,
Rwanda,RWA,2016,,,11930902.0,
Serbia,SRB,2014,,,7543965.0,
Serbia,SRB,2016,,,7493288.0,
South Africa,ZAF,2014,,,54729556.0,
South Africa,ZAF,2016,,,56422272.0,
South America,,2014,,,409128901.0,
South America,,2016,,,417101806.0,
South Korea,KOR,2014,,,50558044.0,
South Korea,KOR,2016,,,51309984.0,
Spain,ESP,2014,,,46464548.0,
Spain,ESP,2016,,,46473320.0,
Thailand,THA,2014,,,69960944.0,
Thailand,THA,2016,,,70607032.0,
Trinidad and Tobago,TTO,2014,,,1450663.0,
Trinidad and Tobago,TTO,2016,,,1469334.0,
Ukraine,UKR,2014,,,45148072.0,
Ukraine,UKR,2016,,,44833568.0,
United States,USA,2014,,,322033952.0,
United States,USA,2016,,,327210208.0,
Vietnam,VNM,2014,,,91235504.0,
Vietnam,VNM,2016,,,93126528.0,
Zambia,ZMB,2014,,,15737796.0,
Zambia,ZMB,2016,,,16767758.0,
Zimbabwe,ZWE,2014,,,13855758.0,
Zimbabwe,ZWE,2016,,,14452705.0,
