Entity,Code,Year,Deaths - Infectious diseases - OWID - Sex: Both - Age: All Ages (Rate)
Ghana,GHA,1990,539.28
Ghana,GHA,1995,495.32
Ghana,GHA,2000,489.63
Ghana,GHA,2005,464.28
Ghana,GHA,2010,397.52
Ghana,GHA,2015,306.92
Ghana,GHA,2019,249.54
United Arab Emirates,ARE,1990,24.8
United Arab Emirates,ARE,1995,19.42
United Arab Emirates,ARE,2000,16.200000000000003
United Arab Emirates,ARE,2005,14.68
United Arab Emirates,ARE,2010,10.16
United Arab Emirates,ARE,2015,11.35
United Arab Emirates,ARE,2019,13.3
