Entity,Code,Year,"Number of one-year-olds not vaccinated with polio-containing vaccine, 1st dose"
Denmark,DNK,2015,2276
Denmark,DNK,2016,1740
Denmark,DNK,2017,600
Denmark,DNK,2018,1838
Denmark,DNK,2019,1836
Denmark,DNK,2020,1838
Denmark,DNK,2021,1234
Marshall Islands,MHL,2015,63
Marshall Islands,MHL,2016,59
Marshall Islands,MHL,2017,44
Marshall Islands,MHL,2018,31
Marshall Islands,MHL,2019,39
Marshall Islands,MHL,2020,28
Marshall Islands,MHL,2021,34
Saint Lucia,LCA,2015,1683
Saint Lucia,LCA,2016,107
Saint Lucia,LCA,2017,234
Saint Lucia,LCA,2018,21
Saint Lucia,LCA,2019,21
Saint Lucia,LCA,2020,210
Saint Lucia,LCA,2021,208
